packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
a722c3fd14cb,spielberg_FP1,speed,bit_flip_high,detection,0.0143,True
a3c16e419421,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0027,False
254e34ab11d8,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0019,False
7cb8683eb6e2,spielberg_FP1,rpm,null_value,detection,0.0016,True
76eef4bdf87d,spielberg_FP1,rpm,bit_flip_high,detection,0.0062,True
469f4c757df7,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0016,True
0ef0f34ef741,spielberg_FP1,throttle,bit_flip_high,detection,0.005,True
708f24c60f4c,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0023,False
406ccb238bb2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0017,True
5e90161a553b,spielberg_FP1,heart_rate,null_value,detection,0.0013,True
6f8492a3a9d1,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0049,True
aa2aeaa0b896,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0013,True
4e872d5e0876,spielberg_FP1,aero_load,string_in_numeric,detection,0.0021,True
4cb819cd530d,spielberg_FP1,throttle,sensor_dropout,detection,0.0013,True
029ad5f3ab41,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0025,False
d54bf2c030b4,spielberg_FP1,speed,bit_flip_high,detection,0.0061,True
416b1befa305,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0055,True
5550f52d9f87,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0019,False
3eb0f3ff8bc9,spielberg_FP1,rpm,null_value,detection,0.0013,True
a1a7fe36c147,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0058,True
b9eed176ce54,spielberg_FP1,aero_load,bit_flip_high,detection,0.0048,True
4a79d6c9167d,spielberg_FP1,throttle,bit_flip_high,detection,0.0043,True
5e6ed1af92d2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0015,True
db69ebb496c2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0016,True
81ff87229e69,spielberg_FP1,rpm,string_in_numeric,detection,0.0014,True
7054678cfe35,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0019,True
5cc5e1f6ed31,spielberg_FP1,tyre_pressure,null_value,detection,0.0016,True
b3fa877583a3,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0055,True
30f171c6f2b9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0016,True
571860ea532f,spielberg_FP1,speed,duplicate_timestamp,detection,0.002,False
28ec00f1305a,spielberg_FP1,aero_load,bit_flip_low,detection,0.0067,True
87563eac3180,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0047,True
72f8645fa7b7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0019,False
34be21188b7e,spielberg_FP1,aero_load,null_value,detection,0.0016,True
e1f4dde6f271,spielberg_FP1,throttle,string_in_numeric,detection,0.0018,True
7bb97ce961cb,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0023,False
