packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
093b16c8be77,spielberg_FP2,g_force_lateral,duplicate_timestamp,detection,0.0045,True
df8d01260d33,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0072,True
b6f470beb83b,spielberg_QUALI,rpm,string_in_numeric,detection,0.003,True
6f2dddfe7429,spielberg_QUALI,brake_temp,string_in_numeric,detection,0.0029,True
0b4fafc1eeda,spielberg_QUALI,g_force_lateral_new,schema_drift,detection,0.0052,True
255a60f782c8,spielberg_RACE,engine_temp,duplicate_timestamp,detection,0.0042,True
ffe945504114,spielberg_RACE,tyre_pressure,duplicate_timestamp,detection,0.0045,True
3257f98d538c,silverstone_FP2,brake_temp,string_in_numeric,detection,0.0027,True
c21c87fc9a81,silverstone_FP3,throttle_new,schema_drift,detection,0.0053,True
de3ec04180b1,silverstone_QUALI,ecu_canbus_v2,schema_drift,detection,0.0077,True
bf75e7df36a7,silverstone_QUALI,aero_load,duplicate_timestamp,detection,0.0039,True
8dda6dc95145,budapest_FP1,speed,duplicate_timestamp,detection,0.0046,True
52653af9e422,budapest_FP1,engine_temp,string_in_numeric,detection,0.0036,True
27f602541929,budapest_FP2,tyre_pressure,string_in_numeric,detection,0.0028,True
bed659fbf207,budapest_FP3,tyre_pressure_canbus,schema_drift,detection,0.0055,True
a1f68cc574c5,budapest_QUALI,heart_rate,duplicate_timestamp,detection,0.0045,True
3a848037ca17,budapest_QUALI,g_force_lateral,string_in_numeric,detection,0.0027,True
737cc2e80f59,budapest_RACE,g_force_lateral_alt,schema_drift,detection,0.0057,True
df8d01260d33,,,dlq_repair,repair,0.0739,False
6f2dddfe7429,,,dlq_repair,repair,0.018,False
255a60f782c8,,,dlq_repair,repair,0.0449,True
3257f98d538c,,,dlq_repair,repair,0.0208,False
52653af9e422,,,dlq_repair,repair,0.023,False
093b16c8be77,,,dlq_repair,repair,0.0276,True
b6f470beb83b,,,dlq_repair,repair,0.0059,False
ffe945504114,,,dlq_repair,repair,0.0138,True
bf75e7df36a7,,,dlq_repair,repair,0.0161,True
8dda6dc95145,,,dlq_repair,repair,0.0122,True
27f602541929,,,dlq_repair,repair,0.0048,False
a1f68cc574c5,,,dlq_repair,repair,0.0124,True
3a848037ca17,,,dlq_repair,repair,0.0036,False
