packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
6ac57f4aafae,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
9a40db505a2c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
6a59ffebd0b7,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0046,True
22127abfbcd5,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
6afaf1c9a39e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0029,True
5278dac8259d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0042,True
896235bbc479,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0046,True
787da9fb6057,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
29a10a365328,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0045,True
e3e2bbaa5734,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0027,True
da20e3482a77,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0047,True
3e12d68ca90d,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0048,True
6da2e2356b77,spielberg_FP1,rpm_raw,schema_drift,detection,0.0062,True
d24bc45cf441,spielberg_FP1,engine_temp,string_in_numeric,detection,0.01,True
d0283e91eabc,spielberg_FP1,rpm_alt,schema_drift,detection,0.0056,True
d1507ad11509,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0054,True
32f9df54ec45,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0022,True
b0016999ac48,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
a1e475752c98,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0023,True
31d4e0ea37ef,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0047,True
eb9d9b4067e9,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0043,True
482ac0679618,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
f40210de6e9f,spielberg_FP1,speed_new,schema_drift,detection,0.0049,True
3456d78bc43b,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
e424fe9ae17d,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0052,True
cc4f000e5ee5,spielberg_FP1,speed,duplicate_timestamp,detection,0.0047,True
0fe00118de9d,spielberg_FP1,speed,duplicate_timestamp,detection,0.0045,True
39dafd820a6c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
ea757bdb2c2e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0044,True
9796ab1cac72,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0028,True
298c7cea574d,spielberg_FP1,speed,string_in_numeric,detection,0.0028,True
3ee437eb39dc,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0049,True
460b8b1c4dd4,spielberg_FP1,throttle,string_in_numeric,detection,0.0023,True
ec8764ffebab,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0029,True
5f7c7685f2db,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0051,True
51523a8764b9,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0033,True
54fbefb60cec,spielberg_FP1,rpm,string_in_numeric,detection,0.0024,True
0f25936188f8,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0042,True
a8aae0b6d38a,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0048,True
5f34a6c2b793,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
06a7127c1371,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0054,True
32eff89acdfd,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
2196a3b80659,spielberg_FP1,rpm_v2,schema_drift,detection,0.0052,True
f437fa0d8429,spielberg_FP1,speed_raw,schema_drift,detection,0.0052,True
9f635630e988,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.006,True
b84c67dd7bc5,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0038,True
8c5bee9ba5cb,spielberg_FP1,heart_rate_new,schema_drift,detection,0.005,True
9d9e980d8ff5,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0027,True
d3f9969abb85,spielberg_FP1,throttle_raw,schema_drift,detection,0.0056,True
657da60cef32,spielberg_FP1,rpm_v2,schema_drift,detection,0.0061,True
60195f977d38,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0118,True
2f9ee504ddfb,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0045,True
a2c75e9d2de6,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0049,True
0af96b602329,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0027,True
6e617a503383,spielberg_FP1,rpm_new,schema_drift,detection,0.0051,True
5aaefc976350,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0029,True
