packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
b49a3f97da4f,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0061,True
d5794a13657d,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0051,True
2173bda99c3c,spielberg_FP1,rpm,sensor_dropout,detection,0.004,True
828ceec2021c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0027,True
a0876a12d803,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0048,True
60aa87d72a8b,spielberg_FP1,engine_temp,null_value,detection,0.0038,True
1474d27f5b6b,spielberg_FP1,aero_load,bit_flip_high,detection,0.0075,True
a71b1ceed180,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
99fd1ed16b8d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
d46492bf99e8,spielberg_FP1,rpm,string_in_numeric,detection,0.0017,True
369b1f201704,spielberg_FP1,throttle,sensor_dropout,detection,0.0041,True
115539ac1a27,spielberg_FP1,aero_load,bit_flip_high,detection,0.007,True
09522c740fe3,spielberg_FP1,tyre_pressure,null_value,detection,0.0037,True
b23c79e02fdb,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0039,True
b53134bdd526,spielberg_FP1,speed,sensor_dropout,detection,0.0035,True
ef7c1de5316d,spielberg_FP1,speed,null_value,detection,0.0035,True
4147f6f31402,spielberg_FP1,heart_rate,null_value,detection,0.0033,True
849fb35efaed,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0057,True
1c2291bb8236,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0072,True
fa46596c5cdb,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0037,True
381ee426b8ec,spielberg_FP1,speed,null_value,detection,0.0033,True
3e8e1ef876a1,spielberg_FP1,throttle,sensor_dropout,detection,0.0033,True
8af4a77424ea,spielberg_FP1,throttle,bit_flip_low,detection,0.0062,True
688b5f3e9463,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0037,True
db1775fdc96e,spielberg_FP1,engine_temp,sensor_dropout,detection,0.01,True
08430dc61771,spielberg_FP1,aero_load,sensor_dropout,detection,0.0038,True
01d3052a1243,spielberg_FP1,rpm,duplicate_timestamp,detection,0.004,True
cbd13e55d2d6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0033,True
d0f98f76616e,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0067,True
d4e8c6910c47,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0048,True
a35f3f60dd8e,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
7ff61762e846,spielberg_FP1,aero_load,string_in_numeric,detection,0.0021,True
1f69c11dcfd4,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
7d1090e14b2f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
623830ab395c,spielberg_FP1,rpm,sensor_dropout,detection,0.0078,True
c77997630bf5,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0071,True
3f76f3cf51ef,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0058,True
2ab3c7b07d49,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0031,True
d0eb41e50818,spielberg_FP1,aero_load,sensor_dropout,detection,0.0048,True
93ad3119f738,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0055,True
2ed1121685dd,spielberg_FP1,speed_v2,schema_drift,detection,0.0069,True
96b79fd3ead2,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0073,True
25db629d5e80,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0033,True
830273bdd15a,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0052,True
9b0af2281c7b,spielberg_FP1,rpm,bit_flip_low,detection,0.0097,True
98a8eb563bd2,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0068,True
0e7de642ae4b,spielberg_FP1,throttle,bit_flip_high,detection,0.0088,True
b8846948cb9c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.003,True
628622ddbe96,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.006,True
820078872674,spielberg_FP1,rpm,null_value,detection,0.0047,True
da0bc4f0addc,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0075,True
2f23248d504d,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0034,True
217a70933cb3,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0062,True
44c8b1c96b16,spielberg_FP1,rpm,null_value,detection,0.0049,True
9122e96232f2,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.011,True
9bdf81bb6f54,spielberg_FP1,throttle,null_value,detection,0.0044,True
ead43caa212d,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0074,True
f1e120ae118c,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0038,True
3902f6e0249d,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0071,True
817826ca138e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.003,True
fd6a2a522481,spielberg_FP1,throttle_alt,schema_drift,detection,0.0055,True
a058c65e12a3,spielberg_FP1,throttle,sensor_dropout,detection,0.0041,True
548de6d2644f,spielberg_FP1,rpm,bit_flip_low,detection,0.0072,True
a5ac37930e91,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0062,True
7c4359f77a4f,spielberg_FP1,aero_load,sensor_dropout,detection,0.0032,True
dcf08babb64f,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0036,True
f0195a3a5d37,spielberg_FP1,throttle,bit_flip_low,detection,0.006,True
635b16c2a663,spielberg_FP1,aero_load,bit_flip_high,detection,0.0058,True
c81288a2c857,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0021,True
1dcdb8e46498,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
dd7fdeb9521e,spielberg_FP1,throttle_new,schema_drift,detection,0.0052,True
19c3ad0c598f,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0064,True
265a59a26b7b,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0041,True
91c031dd4d69,spielberg_FP1,aero_load,string_in_numeric,detection,0.0028,True
a5a638cf75b2,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0054,True
0446e6e16f6c,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.004,True
78dcff633bd3,spielberg_FP1,speed,string_in_numeric,detection,0.0025,True
fbfeb57e7d94,spielberg_FP1,throttle_raw,schema_drift,detection,0.0044,True
4feaf306e55c,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0083,True
74c68e0b62fc,spielberg_FP1,throttle_raw,schema_drift,detection,0.0047,True
1d94ebddbd6a,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0061,True
f9de59e81090,spielberg_FP1,speed,bit_flip_high,detection,0.0058,True
acaa2cec5a32,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0049,True
122d0bbe2085,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0043,True
3d30c1dcfe01,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0058,True
c9f1ca1ed5f8,spielberg_FP1,aero_load,sensor_dropout,detection,0.0036,True
6f20d675d6f2,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0024,True
5fa70bf682e8,spielberg_FP1,speed,bit_flip_low,detection,0.0063,True
eb776759b14f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0029,True
bd2fbf20f1ec,spielberg_FP1,aero_load,sensor_dropout,detection,0.0036,True
e751b5d6b416,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
57338dc21baa,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0029,True
41fa8439e4a1,spielberg_FP1,speed,sensor_dropout,detection,0.0044,True
925b1eaf0b50,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0076,True
6616d118accf,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
8e3b7402a651,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0046,True
1213b274de4b,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0052,True
0a0b988b888e,spielberg_FP1,speed,bit_flip_high,detection,0.0064,True
edcca82c5bf3,spielberg_FP1,rpm,bit_flip_low,detection,0.0061,True
a0bb1da3d52f,spielberg_FP1,brake_temp,bit_flip_high,detection,0.006,True
62343392247a,spielberg_FP1,throttle,null_value,detection,0.0034,True
