packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
0fe4f864f6c0,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0053,True
1862375baf11,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0027,True
6a1e1ddd1d2d,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0043,True
772016949935,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0027,True
7bbabd9df004,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0028,True
e1a6406fad05,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
1784fcf69823,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0043,True
9f3fc02e3c16,spielberg_FP1,aero_load,string_in_numeric,detection,0.0023,True
945bd715beee,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0098,True
23a1eb4a5645,spielberg_FP2,speed,duplicate_timestamp,detection,0.0041,True
e45b197d9f39,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0026,True
f9e579ed018e,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.005,True
1217c36d9d82,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0032,True
7e7a795283cf,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0025,True
1c3b516375e5,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0047,True
726fff357ae1,spielberg_FP2,heart_rate_new,schema_drift,detection,0.0054,True
121b6ea65980,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0043,True
6f06b2fcf5e1,spielberg_FP2,g_force_lateral_v2,schema_drift,detection,0.0056,True
57224c4ddde6,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0068,True
9dc30aed4893,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0044,True
23006c81a3fc,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.0045,True
d3619de7de27,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0074,True
1c649b2f6f98,spielberg_FP3,speed_v2,schema_drift,detection,0.0077,True
f701f18b0570,spielberg_FP3,g_force_lateral,string_in_numeric,detection,0.0025,True
da2147354d02,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0043,True
47111a87655c,spielberg_FP3,rpm,duplicate_timestamp,detection,0.0041,True
f56bdcfd28bb,spielberg_FP3,aero_load,string_in_numeric,detection,0.0026,True
2ec7afbf7560,spielberg_FP3,speed,string_in_numeric,detection,0.0027,True
49ebfbe64bcd,spielberg_FP3,speed,duplicate_timestamp,detection,0.0047,True
1f325e4a7bc3,spielberg_FP3,brake_temp,string_in_numeric,detection,0.0027,True
61211bb07e74,spielberg_FP3,throttle,string_in_numeric,detection,0.0022,True
604e7045ff7d,spielberg_FP3,throttle_alt,schema_drift,detection,0.0051,True
e8ffcbfb46fd,spielberg_FP3,heart_rate_raw,schema_drift,detection,0.0054,True
c7f3ee3c2e46,spielberg_FP3,ecu_canbus,duplicate_timestamp,detection,0.004,True
d0923fa79c6a,spielberg_FP3,aero_load,duplicate_timestamp,detection,0.0044,True
b242486bc3b0,spielberg_FP3,aero_load_canbus,schema_drift,detection,0.011,True
db74353de136,spielberg_FP3,brake_temp_alt,schema_drift,detection,0.0053,True
0f0fe481f18b,spielberg_QUALI,speed_new,schema_drift,detection,0.0051,True
11d69a899c98,spielberg_QUALI,speed,string_in_numeric,detection,0.0026,True
553aa72be98b,spielberg_QUALI,rpm,string_in_numeric,detection,0.002,True
54895d8784c5,spielberg_QUALI,rpm,string_in_numeric,detection,0.0025,True
9403cedc5233,spielberg_QUALI,aero_load,string_in_numeric,detection,0.0026,True
fccbb694586f,spielberg_QUALI,g_force_lateral,string_in_numeric,detection,0.0024,True
57c760da0ca6,spielberg_QUALI,throttle_v2,schema_drift,detection,0.0045,True
fcdc884fb2a2,spielberg_QUALI,speed,duplicate_timestamp,detection,0.0085,True
9d720bb83014,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.005,True
3ad1dc8689ca,spielberg_QUALI,brake_temp,duplicate_timestamp,detection,0.0049,True
a9e85d9deba7,spielberg_RACE,ecu_canbus,string_in_numeric,detection,0.0045,True
1bcbd434b314,spielberg_RACE,throttle_v2,schema_drift,detection,0.0085,True
eb9801d5d294,spielberg_RACE,speed,duplicate_timestamp,detection,0.0078,True
2c1be1461054,spielberg_RACE,tyre_pressure_v2,schema_drift,detection,0.0088,True
