packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
dda16d54eb81,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0045,True
30937d62d343,spielberg_FP2,aero_load,duplicate_timestamp,detection,0.0036,True
380bea21d8b4,spielberg_FP3,rpm,duplicate_timestamp,detection,0.0036,True
84e6deaf1ad6,spielberg_QUALI,g_force_lateral,string_in_numeric,detection,0.0022,True
540f50e17508,spielberg_QUALI,speed_v2,schema_drift,detection,0.0042,True
e51ef05ce4d7,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0043,True
04d940fc5eff,spielberg_QUALI,aero_load_new,schema_drift,detection,0.0044,True
15dfd2b07bf8,spielberg_RACE,aero_load,string_in_numeric,detection,0.0022,True
c6fcfeb9168e,spielberg_RACE,ecu_canbus,duplicate_timestamp,detection,0.0033,True
1783036e6778,silverstone_FP1,tyre_pressure,duplicate_timestamp,detection,0.0035,True
3b2615842b59,silverstone_FP1,heart_rate,duplicate_timestamp,detection,0.0036,True
f064dd7c5de8,silverstone_FP1,tyre_pressure,string_in_numeric,detection,0.0033,True
3a55a1caea5d,silverstone_FP1,tyre_pressure,string_in_numeric,detection,0.0022,True
222d0fbf1817,silverstone_FP1,speed,duplicate_timestamp,detection,0.0036,True
a2c397d87dbd,silverstone_FP1,brake_temp_raw,schema_drift,detection,0.0042,True
0edf288cbfbe,silverstone_FP2,brake_temp,string_in_numeric,detection,0.0031,True
9d052de95cce,silverstone_FP3,throttle,duplicate_timestamp,detection,0.0033,True
ad75a54722eb,silverstone_FP3,rpm,duplicate_timestamp,detection,0.0033,True
902954f3f988,silverstone_FP3,aero_load,string_in_numeric,detection,0.0023,True
d6b661f60c11,silverstone_QUALI,throttle,duplicate_timestamp,detection,0.0035,True
5d44b378b2a7,silverstone_QUALI,engine_temp_raw,schema_drift,detection,0.0045,True
3417fd4fad44,silverstone_QUALI,heart_rate_canbus,schema_drift,detection,0.0047,True
b1e5726f41d2,silverstone_QUALI,engine_temp,duplicate_timestamp,detection,0.0034,True
3efaaa065981,budapest_FP1,speed,string_in_numeric,detection,0.002,True
b3666fd0a949,budapest_FP1,engine_temp,string_in_numeric,detection,0.0022,True
245bb6fa3626,budapest_FP3,engine_temp,string_in_numeric,detection,0.0022,True
19917d13f46e,budapest_FP3,throttle_alt,schema_drift,detection,0.004,True
c7d619177485,budapest_QUALI,g_force_lateral,duplicate_timestamp,detection,0.0038,True
0cecd7bbae5b,budapest_RACE,engine_temp,duplicate_timestamp,detection,0.0032,True
ab683af402ed,budapest_RACE,aero_load_v2,schema_drift,detection,0.0046,True
a7b031548162,budapest_RACE,brake_temp,string_in_numeric,detection,0.0022,True
c6fcfeb9168e,,,dlq_repair,repair,0.0671,True
0edf288cbfbe,,,dlq_repair,repair,0.0186,False
b1e5726f41d2,,,dlq_repair,repair,0.0311,True
b3666fd0a949,,,dlq_repair,repair,0.012,False
245bb6fa3626,,,dlq_repair,repair,0.0105,False
0cecd7bbae5b,,,dlq_repair,repair,0.0233,True
a7b031548162,,,dlq_repair,repair,0.0102,False
30937d62d343,,,dlq_repair,repair,0.0209,True
380bea21d8b4,,,dlq_repair,repair,0.0197,True
84e6deaf1ad6,,,dlq_repair,repair,0.0069,False
e51ef05ce4d7,,,dlq_repair,repair,0.0187,True
15dfd2b07bf8,,,dlq_repair,repair,0.006,False
1783036e6778,,,dlq_repair,repair,0.019,True
3b2615842b59,,,dlq_repair,repair,0.0168,True
f064dd7c5de8,,,dlq_repair,repair,0.0072,False
3a55a1caea5d,,,dlq_repair,repair,0.0063,False
222d0fbf1817,,,dlq_repair,repair,0.0195,True
9d052de95cce,,,dlq_repair,repair,0.0185,True
ad75a54722eb,,,dlq_repair,repair,0.017,True
902954f3f988,,,dlq_repair,repair,0.0072,False
d6b661f60c11,,,dlq_repair,repair,0.0179,True
3efaaa065981,,,dlq_repair,repair,0.0059,False
c7d619177485,,,dlq_repair,repair,0.0182,True
