packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
54e8cfcf5e2d,spielberg_FP1,speed_raw,schema_drift,detection,0.0053,True
d53cd83222b2,spielberg_FP1,speed_raw,schema_drift,detection,0.005,True
0cdaf6d4f650,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0042,True
ea6ca3043d6c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0042,True
43d090903baa,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0028,True
d140455936cc,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0027,True
129d998bd773,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0053,True
3eb1efff39af,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
ecef3e311a0f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0043,True
2310c487fb03,spielberg_FP1,rpm,string_in_numeric,detection,0.0021,True
1ebacfea5d36,spielberg_FP1,aero_load,string_in_numeric,detection,0.0022,True
c7481c7ee8e2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0024,True
8ef8fa470e9c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0041,True
ed2410c3c511,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0043,True
174ced974681,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
7c015363db79,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0049,True
c55c57557adf,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0051,True
aeae18cdde36,spielberg_FP1,throttle_new,schema_drift,detection,0.0055,True
20570ce47830,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
f9569f456d96,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
cf8b29c62988,spielberg_FP1,rpm_raw,schema_drift,detection,0.0046,True
7e205f77be3d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0042,True
9e079201aa7f,spielberg_FP1,rpm,string_in_numeric,detection,0.0028,True
d249d19c57bf,spielberg_FP1,speed,duplicate_timestamp,detection,0.0049,True
977d758062b6,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0057,True
0761db8ade63,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0046,True
26c7abec96eb,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0027,True
570bbae8a989,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0045,True
9228513fb9f2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0041,True
476be681995d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0044,True
37aeb0d97d9e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0043,True
536f45dda03a,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0039,True
ad3b8d008e8d,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0027,True
26414741d3cf,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0047,True
3994cc7d33c4,spielberg_FP1,throttle_raw,schema_drift,detection,0.0049,True
08bb9fc83e55,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0039,True
c0f836a155bc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0041,True
299667eadb28,spielberg_FP1,aero_load_new,schema_drift,detection,0.0049,True
ad72cda116ae,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0034,True
9bc6ab8a4e84,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
8f3f6f2f1cc7,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0052,True
27564478bb14,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0051,True
7d231793aea5,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0045,True
7d7c88a2cca8,spielberg_FP1,rpm,string_in_numeric,detection,0.0045,True
046a92584518,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0045,True
7a054bf4e415,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0049,True
15ae2d6ca6d9,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0049,True
ccd45d18ed2f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.003,True
523c08b06704,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
56dce5ccb8a2,spielberg_FP1,speed,duplicate_timestamp,detection,0.0048,True
1d5fd1d54f9f,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0026,True
8936deb805a9,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0043,True
7bc18bb2beed,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
9b40ff227a83,spielberg_FP1,speed,string_in_numeric,detection,0.0029,True
7c8ace5439c5,spielberg_FP1,throttle,string_in_numeric,detection,0.0029,True
75e7e12d2cb8,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0047,True
53a5cbe4b983,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0044,True
0ede1d452817,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0045,True
c157a50725e0,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0025,True
d3e4e933f76f,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0027,True
de44327ba394,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
667a30720c8b,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0042,True
f0d89f9f03d0,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0049,True
677d6f978a0e,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0057,True
d3e48d148d0e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0039,True
340c1914a9ce,spielberg_FP1,aero_load_new,schema_drift,detection,0.0071,True
47f14bbceb6c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0056,True
5da69d3d2303,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
7239c74cdab6,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0042,True
7c84efc19bc5,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0053,True
fbc87580db47,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0109,True
d7a0f5c2feda,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
b3cb15a0fd6b,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0054,True
ad5f44a582de,spielberg_FP1,rpm,string_in_numeric,detection,0.0025,True
8e66947fb00f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0042,True
2c8495027b94,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.005,True
6a7fc7bb13f0,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0045,True
4da584dbdad7,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0027,True
ce05310cc808,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0043,True
6acf9f9ffc6e,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0048,True
82abf0142e04,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0046,True
e27ac5df1772,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
42618396b189,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0043,True
04ecc1b0923c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0052,True
3eb4e91d2b6d,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0052,True
5d5189db29f0,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.005,True
6ee751a330c7,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
e6cc0730860b,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
3acf283244bf,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0025,True
321b8887cc07,spielberg_FP1,aero_load,string_in_numeric,detection,0.0038,True
51630a1a8462,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
6809bbb02423,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0052,True
ac2f01744cf7,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0055,True
942a326f3d38,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
ed78645ef7b1,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0051,True
2a9ab433b8d7,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0046,True
c6fbcfb51adb,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0052,True
d73057e0826b,spielberg_FP1,speed_v2,schema_drift,detection,0.005,True
1e27f28e214d,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0054,True
a94bc0c37b34,spielberg_FP1,speed_alt,schema_drift,detection,0.0063,True
32b5c64f0cbe,spielberg_FP1,speed,string_in_numeric,detection,0.0028,True
665686c71c2a,spielberg_FP1,speed,string_in_numeric,detection,0.0026,True
a67990d2379e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.005,True
124f99affcd5,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0029,True
790e5e683da8,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0057,True
6a3f21c1d15d,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0055,True
b6a878c4b113,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0046,True
409f6a640a44,spielberg_FP1,throttle_v2,schema_drift,detection,0.0053,True
d61f3b839f62,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0049,True
444054eb77a9,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0049,True
fa8992e0613b,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0085,True
8fe3bfda1a1c,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0053,True
c38074c8e5a2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0046,True
15585d9e18fd,spielberg_FP1,engine_temp,string_in_numeric,detection,0.007,True
52e49c01e289,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0063,True
8c740829544f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0055,True
1d2f91ddb640,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0045,True
2757853f02e6,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0047,True
da7379281796,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0045,True
a9cbdb72b9b6,spielberg_FP1,speed,duplicate_timestamp,detection,0.0044,True
b2d53b4b67a8,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0039,True
f0f00fa9b048,spielberg_FP1,rpm_v2,schema_drift,detection,0.0052,True
47813eb7fbb6,spielberg_FP1,rpm_raw,schema_drift,detection,0.0087,True
113bdfca16c2,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0074,True
96f9e18f624f,spielberg_FP1,rpm,duplicate_timestamp,detection,0.005,True
b15c682d04ac,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0046,True
637668c0bf8e,spielberg_FP1,rpm,string_in_numeric,detection,0.0025,True
8cf5bc257664,spielberg_FP1,speed,duplicate_timestamp,detection,0.0079,True
cbe849fb2a10,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0045,True
c94c83aa5adb,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0076,True
0d490ae15a38,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0072,True
a5ab84290717,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0098,True
014a4893c143,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0093,True
b699127b7c05,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.01,True
522ad05e3981,spielberg_FP1,throttle,string_in_numeric,detection,0.0055,True
f949826fadea,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0048,True
