packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
f43163ca7a67,spielberg_FP1,brake_temp,null_value,detection,0.0056,True
957e8f67e52c,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0075,True
1e1c8372be83,spielberg_FP1,aero_load,bit_flip_high,detection,0.0102,True
89a99af0c28f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0061,True
9e66074d1b32,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0064,True
18395274b5d3,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0084,True
fff7a20926e3,spielberg_FP1,speed,string_in_numeric,detection,0.0029,True
68288349dc48,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0052,True
442b7675620b,spielberg_FP1,speed,sensor_dropout,detection,0.0071,True
f4a41e5ec79c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0072,True
7693ac891778,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0087,True
bdffab8b2b78,spielberg_FP1,speed,sensor_dropout,detection,0.0071,True
190d9c18278e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0041,True
6850003fd073,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0039,True
3b57f6cca14a,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0128,True
6dc0f9b6f524,spielberg_FP1,throttle_raw,schema_drift,detection,0.0084,True
f6c7febb0c53,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0072,True
bf1429a24a08,spielberg_FP1,rpm,bit_flip_low,detection,0.0123,True
143da9c9e02a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0068,True
e0f8b2c55fea,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0112,True
12f3ed412c2d,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0092,True
44079cf5bdd0,spielberg_FP1,speed,string_in_numeric,detection,0.0041,True
bd3d7bafa314,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0077,True
b80f54db9d1b,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0123,True
40385b82042a,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0074,True
5bdc7dcb4545,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0071,True
80214945043e,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0103,True
0ffe82b73f92,spielberg_FP1,tyre_pressure,null_value,detection,0.0058,True
5f191b11330a,spielberg_FP1,rpm,bit_flip_high,detection,0.0132,True
cc66b43b40c5,spielberg_FP1,brake_temp,null_value,detection,0.0066,True
cb498bff8b82,spielberg_FP1,heart_rate,null_value,detection,0.0071,True
6311b312b3b6,spielberg_FP1,rpm,null_value,detection,0.0067,True
d010b6c78bc0,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0123,True
8c0eb602510d,spielberg_FP1,ecu_canbus,null_value,detection,0.0066,True
e8fb334bb5f7,spielberg_FP1,speed,sensor_dropout,detection,0.0067,True
