phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
cohere,openf1,qwen,cohere,1,0.8006329113924051,0.0,0.8006329113924051,0.8006329113924051,0.8006329113924051,0.0,0.8006329113924051,0.8006329113924051,458.5959055942492,0.0,34.486435330397946,0.0,34.486435330397946,34.486435330397946,72492.27054198855,0.0,11.798541992902756,0.0,72467.66704201582,0.0,2342.0,158.0,8
cohere,openf1,json_manip,cohere,1,0.945398773006135,0.0,0.945398773006135,0.945398773006135,0.9453987730061348,0.0,0.9453987730061348,0.9453987730061348,436.28676233140385,0.0,35.13770119871053,0.0,35.13770119871053,35.13770119871053,71148.64987501642,0.0,12.339540990069509,0.0,71123.9864579984,0.0,2337.0,163.0,8
cohere,openf1,schema_alter,cohere,1,0.7722222222222223,0.0,0.7722222222222223,0.7722222222222223,0.7722222222222223,0.0,0.7722222222222223,0.7722222222222223,480.8605539656128,0.0,48.101950929932556,0.0,48.101950929932556,48.101950929932556,51972.943959000986,0.0,15.586208988679573,0.0,51939.04116700287,0.0,2392.0,108.0,8
cohere,finnhub,qwen,cohere,1,0.6961538461538461,0.0,0.6961538461538461,0.6961538461538461,0.6961538461538461,0.0,0.6961538461538461,0.6961538461538461,348.365251262126,0.0,55.17502130156612,0.0,55.17502130156612,55.17502130156612,45310.358583024936,0.0,6.920790998265147,0.0,45293.8637920015,0.0,2370.0,130.0,8
cohere,finnhub,json_manip,cohere,1,0.8298192771084337,0.0,0.8298192771084337,0.8298192771084337,0.8298192771084337,0.0,0.8298192771084337,0.8298192771084337,383.3086980357401,0.0,39.2753877391261,0.0,39.2753877391261,39.2753877391261,63653.095333022065,0.0,6.5289579797536135,0.0,63637.79229199281,0.0,2334.0,166.0,8
cohere,finnhub,schema_alter,cohere,1,0.6225490196078431,0.0,0.6225490196078431,0.6225490196078431,0.6225490196078431,0.0,0.6225490196078431,0.6225490196078431,372.72147825569846,0.0,65.72621386213162,0.0,65.72621386213162,65.72621386213162,38036.57404097612,0.0,6.136207986855879,0.0,38022.19454199076,0.0,2398.0,102.0,8
cohere,spacex,qwen,cohere,1,0.7518248175182481,0.0,0.7518248175182481,0.7518248175182481,0.7518248175182481,0.0,0.7518248175182481,0.7518248175182481,357.40906322531293,0.0,51.03387928475835,0.0,51.03387928475835,51.03387928475835,48987.0657499996,0.0,6.295125000178814,0.0,48971.25341600622,0.0,2363.0,137.0,8
cohere,spacex,json_manip,cohere,1,0.9551630434782609,0.0,0.9551630434782609,0.9551630434782609,0.9551630434782609,0.0,0.9551630434782609,0.9551630434782609,384.3719073784482,0.0,35.330908844873214,0.0,35.330908844873214,35.330908844873214,70759.57233301597,0.0,10.176375013543293,0.0,70733.11050000484,0.0,2316.0,184.0,8
cohere,spacex,schema_alter,cohere,1,0.5347222222222222,0.0,0.5347222222222222,0.5347222222222222,0.5347222222222222,0.0,0.5347222222222222,0.5347222222222222,404.3763235551726,0.0,85.81220295435986,0.0,85.81220295435986,85.81220295435986,29133.385624998482,0.0,6.112167000537738,0.0,29118.458292010473,0.0,2428.0,72.0,8
cohere,openweather,qwen,cohere,1,0.7780373831775701,0.0,0.7780373831775701,0.7780373831775701,0.7780373831775701,0.0,0.7780373831775701,0.7780373831775701,374.691845748517,0.0,62.32471796317527,0.0,62.32471796317527,62.32471796317527,40112.49600001611,0.0,6.429458997445181,0.0,40096.94370799116,0.0,2393.0,107.0,8
cohere,openweather,json_manip,cohere,1,0.8758389261744967,0.0,0.8758389261744967,0.8758389261744967,0.8758389261744967,0.0,0.8758389261744967,0.8758389261744967,391.26988782566167,0.0,42.85781055097837,0.0,42.85781055097837,42.85781055097837,58332.42454199353,0.0,9.603832993889228,0.0,58307.16479101102,0.0,2351.0,149.0,8
cohere,openweather,schema_alter,cohere,1,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,379.69667985291585,0.0,121.8218721680206,0.0,121.8218721680206,121.8218721680206,20521.766375022708,0.0,6.572707992745563,0.0,20506.34083300247,0.0,2446.0,54.0,8
cohere,clinical,qwen,cohere,1,0.7616,0.0,0.7616,0.7616,0.7616,0.0,0.7616,0.7616,392.913678631885,0.0,50.87837352585741,0.0,50.87837352585741,50.87837352585741,49136.79087499622,0.0,7.178583007771522,0.0,49120.4970839899,0.0,2375.0,125.0,8
cohere,clinical,json_manip,cohere,1,0.96,0.0,0.96,0.96,0.96,0.0,0.96,0.96,381.3278289317168,0.0,40.95141376753041,0.0,40.95141376753041,40.95141376753041,61047.953416011296,0.0,10.726749984314665,0.0,61021.102875005454,0.0,2340.0,160.0,8
cohere,clinical,schema_alter,cohere,1,0.5151515151515151,0.0,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.0,0.5151515151515151,0.5151515151515151,366.9154981365533,0.0,103.10752911905834,0.0,103.10752911905834,103.10752911905834,24246.531959011918,0.0,10.25179197313264,0.0,24219.91679200437,0.0,2434.0,66.0,8
cohere,hockey_nhl,qwen,cohere,1,0.9077548467792371,0.0,0.9077548467792371,0.9077548467792371,0.9077548467792372,0.0,0.9077548467792372,0.9077548467792372,585.7119572843894,0.0,33.34308681574652,0.0,33.34308681574652,33.34308681574652,74978.06108399527,0.0,2349.000916001387,0.0,72059.737707983,0.0,2377.0,123.0,8
cohere,hockey_nhl,json_manip,cohere,1,0.9893970893970895,0.0,0.9893970893970895,0.9893970893970895,0.9893970893970895,0.0,0.9893970893970895,0.9893970893970895,623.9535376045702,0.0,21.10813796817701,0.0,21.10813796817701,21.10813796817701,118437.73258299916,0.0,2441.193625010783,0.0,115454.31699999608,0.0,2315.0,185.0,8
cohere,hockey_nhl,schema_alter,cohere,1,0.5716440422322775,0.0,0.5716440422322775,0.5716440422322775,0.5716440422322775,0.0,0.5716440422322775,0.5716440422322775,722.824814587868,0.0,62.80946879595257,0.0,62.80946879595257,62.80946879595257,39802.91583298822,0.0,2393.224500003271,0.0,36869.985416997224,0.0,2449.0,51.0,8
cohere,aviation_opensky,qwen,cohere,1,0.43119266055045874,0.0,0.43119266055045874,0.43119266055045874,0.43119266055045874,0.0,0.43119266055045874,0.43119266055045874,375.01627827408174,0.0,60.460659437466994,0.0,60.460659437466994,60.460659437466994,41349.20166700613,0.0,423.28095898847096,0.0,40882.015584007604,0.0,2391.0,109.0,8
cohere,aviation_opensky,json_manip,cohere,1,0.5575757575757576,0.0,0.5575757575757576,0.5575757575757576,0.5575757575757576,0.0,0.5575757575757576,0.5575757575757576,407.6161007451557,0.0,36.9145750987175,0.0,36.9145750987175,36.9145750987175,67723.92729198327,0.0,415.98791599972174,0.0,67265.8438750077,0.0,2335.0,165.0,8
cohere,aviation_opensky,schema_alter,cohere,1,0.32,0.0,0.32,0.32,0.32,0.0,0.32,0.32,456.86271725571714,0.0,71.98193218884262,0.0,71.98193218884262,71.98193218884262,34730.9376669873,0.0,420.5625840113498,0.0,34268.57504202053,0.0,2425.0,75.0,8
cohere,football_uefa,qwen,cohere,1,0.8765352294764059,0.0,0.8765352294764059,0.8765352294764059,0.8765352294764059,0.0,0.8765352294764059,0.8765352294764059,573.0990423427644,0.0,36.37947031882232,0.0,36.37947031882232,36.37947031882232,68720.07695797947,0.0,392.77158401091583,0.0,68210.52820800105,0.0,2381.0,119.0,8
cohere,football_uefa,json_manip,cohere,1,0.9606003752345216,0.0,0.9606003752345216,0.9606003752345216,0.9606003752345216,0.0,0.9606003752345216,0.9606003752345216,657.3012532684427,0.0,23.08146803104072,0.0,23.08146803104072,23.08146803104072,108312.00149998767,0.0,393.1249589950312,0.0,107812.31279100757,0.0,2336.0,164.0,8
cohere,football_uefa,schema_alter,cohere,1,0.6804733727810651,0.0,0.6804733727810651,0.6804733727810651,0.6804733727810651,0.0,0.6804733727810651,0.6804733727810651,564.1544606916576,0.0,48.22749984222883,0.0,48.22749984222883,48.22749984222883,51837.64466701541,0.0,386.5476250066422,0.0,51346.13558300771,0.0,2409.0,91.0,8
cohere,smartcity_transit,qwen,cohere,1,0.8563492063492064,0.0,0.8563492063492064,0.8563492063492064,0.8563492063492063,0.0,0.8563492063492063,0.8563492063492063,708.7267113256819,0.0,27.970321039177254,0.0,27.970321039177254,27.970321039177254,89380.45425000018,0.0,36.65141697274521,0.0,89313.59008300933,0.0,2374.0,126.0,8
cohere,smartcity_transit,json_manip,cohere,1,0.9736024844720497,0.0,0.9736024844720497,0.9736024844720497,0.9736024844720497,0.0,0.9736024844720497,0.9736024844720497,606.2546451680901,0.0,25.587489363486235,0.0,25.587489363486235,25.587489363486235,97703.99762500892,0.0,35.55641698767431,0.0,97639.7897079878,0.0,2339.0,161.0,8
cohere,smartcity_transit,schema_alter,cohere,1,0.6774390243902438,0.0,0.6774390243902438,0.6774390243902438,0.6774390243902438,0.0,0.6774390243902438,0.6774390243902438,576.3695605731677,0.0,52.7941860585307,0.0,52.7941860585307,52.7941860585307,47353.69908399298,0.0,35.40270900703035,0.0,47292.67958397395,0.0,2418.0,82.0,8
