phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status,quantum_routed,payload_source,chaos_type,selected_reconciler,optimal_reconciler,routing_decision_match,qpu_execution_time_ms,classical_simulation_baseline_ms,quantum_loop_iterations,gate_fidelity_average,qubit_coherence_status_score,gpu_energy_draw_joules,cpu_energy_draw_joules
cohere,openf1,qwen,cohere,1,9,driver_number,driver_id,qwen_semantic_shift,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,n_gear,n_gear,qwen_semantic_shift,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,timestamp_utc,,qwen_semantic_shift,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,engine_rotations,,qwen_semantic_shift,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,velocity_kmh,,qwen_semantic_shift,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,selected_gear,,qwen_semantic_shift,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,gas_pedal_pct,,qwen_semantic_shift,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,brake_pressure_pct,,qwen_semantic_shift,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,drs_status,,qwen_semantic_shift,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,9,meeting_session_id,,qwen_semantic_shift,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,rpm,rpm,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,speed,speed,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,gear,gear,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,throttle,throttle,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,brake,brake,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,drs,drs,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,n_gear,n_gear,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,session_key,session_key,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,10,nested,,schema_nesting_deepen,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,driver_number,driver_number,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,rpm,rpm,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,speed,speed,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,gear,gear,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,throttle,throttle,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,brake,brake,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,drs,drs,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,n_gear,n_gear,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,session_key,session_key,json_field_split,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,date_part1,,json_field_split,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,73,date_part2,,json_field_split,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,rpm,rpm,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,speed,speed,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,gear,gear,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,throttle,throttle,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,brake,brake,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,drs,drs,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,n_gear,n_gear,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,session_key,session_key,schema_nesting_deepen,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,77,nested,,schema_nesting_deepen,FAILURE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,date,date,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,driver_number,driver_number,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,rpm,rpm,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,speed,speed,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,gear,gear,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,throttle,throttle,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,brake,brake,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,drs,drs,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,n_gear,n_gear,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,81,session_key,session_key,schema_type_change,SUCCESS,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
cohere,openf1,qwen,cohere,1,90,date,date,json_variable_drop,FALSE_POSITIVE,False,openf1,qwen,cohere,,,0.0,0.0,1,0.99,0.98,0.0,0.0
