packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
abc013144160,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0098,True
fb5c163ce0b3,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0068,True
ecb977df4e59,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0087,True
84ec3988d3b6,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
5a967034c850,spielberg_FP1,speed,string_in_numeric,detection,0.0038,True
2aaa91660171,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0131,True
3b0fe991d20b,spielberg_FP1,throttle,sensor_dropout,detection,0.0063,True
2a2698859b71,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0108,True
78ef16f31f83,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0033,True
146f5f9cebce,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0073,True
4db0c6c07de7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0061,True
2f9ef8b64352,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0051,True
37c7bbc5b42c,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0086,True
43dd7001b5e4,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0054,True
6cf6b63316fe,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0036,True
619932b88a28,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0055,True
3b9f88232290,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0099,True
153b414f547b,spielberg_FP1,speed,null_value,detection,0.0053,True
e8d8ac68c7f9,spielberg_FP1,throttle,bit_flip_low,detection,0.0103,True
6ae677559499,spielberg_FP1,aero_load,bit_flip_high,detection,0.0137,True
d6166b0283eb,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0034,True
9853c7dd1e28,spielberg_FP1,aero_load,bit_flip_high,detection,0.0092,True
4081766c2f0f,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0087,True
58d5b12c6a4e,spielberg_FP1,speed_canbus,schema_drift,detection,0.0071,True
8d2ef631051f,spielberg_FP1,rpm,bit_flip_high,detection,0.0088,True
9a17c565d73e,spielberg_FP1,rpm_alt,schema_drift,detection,0.0071,True
9b155cbe1e6e,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0072,True
86e58a705785,spielberg_FP1,g_force_lateral,null_value,detection,0.005,True
1a8ff049ac45,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0109,True
168128eb2cd4,spielberg_FP1,aero_load,bit_flip_high,detection,0.0088,True
65d4aa059e31,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0062,True
db16d9e3ff1f,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0084,True
043bc4c3c35b,spielberg_FP1,ecu_canbus,null_value,detection,0.0054,True
9666815665f5,spielberg_FP1,throttle,bit_flip_low,detection,0.0101,True
db9d0a4d09cd,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0049,True
bca018e68ee8,spielberg_FP1,heart_rate,sensor_dropout,detection,0.005,True
eeaf2e0095f7,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.006,True
cea835bb4891,spielberg_FP1,throttle,bit_flip_low,detection,0.0088,True
26f4b9590465,spielberg_FP1,aero_load,sensor_dropout,detection,0.0058,True
a538fc0d700b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0058,True
