packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
b50bf02fe754,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.008,True
336c6955aaba,spielberg_FP1,throttle_new,schema_drift,detection,0.0109,True
b29dd7d89f40,spielberg_FP1,tyre_pressure,null_value,detection,0.0079,True
287f04567bae,spielberg_FP1,heart_rate,null_value,detection,0.0049,True
9afe4e915aa5,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0068,True
58659ac18bc5,spielberg_FP1,speed,null_value,detection,0.0056,True
ea37c84f6a88,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0058,True
25f1a2e4efdf,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0146,True
b82593447210,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0071,True
dce7f0c08600,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0038,True
7125a36f0499,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0037,True
fe67afef8083,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
49de0b236f13,spielberg_FP1,speed,sensor_dropout,detection,0.0053,True
7caab5ff971f,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0091,True
f6bea948cfe2,spielberg_FP1,speed,bit_flip_low,detection,0.0093,True
8f0fd0c05415,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0034,True
d1482bfd90a0,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0091,True
1ad0a6cda390,spielberg_FP1,aero_load,bit_flip_high,detection,0.0093,True
db180a0afa67,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0086,True
f3d6e0565688,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0145,True
7df05f52af3c,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0035,True
eda394e45885,spielberg_FP1,speed,sensor_dropout,detection,0.0052,True
1971a0929427,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0095,True
35c8aa0f1d28,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0087,True
424fca5d1191,spielberg_FP1,throttle,bit_flip_low,detection,0.0088,True
7bc792a895a8,spielberg_FP1,aero_load,sensor_dropout,detection,0.006,True
b5260c846f8d,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0078,True
610b97ca36d4,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.006,True
c2da2188cebf,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0039,True
9016e4705359,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0067,True
166025682bbb,spielberg_FP1,rpm,string_in_numeric,detection,0.0034,True
5b98d7cbdc0f,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0077,True
f7aa5a3141a5,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0087,True
1ecfd9c62222,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
1a5d2c1bece1,spielberg_FP1,rpm,bit_flip_high,detection,0.0097,True
5cfae20cfa0a,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0074,True
040aa861016f,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0063,True
ae5c617cd95a,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0069,True
8d0957340019,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0054,True
844348d740b6,spielberg_FP1,ecu_canbus,null_value,detection,0.0058,True
0a7292752b16,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0087,True
f0acdbfaccec,spielberg_FP1,throttle,sensor_dropout,detection,0.0054,True
1016017971b3,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0113,True
cb5306c64888,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0101,True
