packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
0073115c4d29,spielberg_FP1,speed,string_in_numeric,detection,0.0039,True
c9d2a0e6a77e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0065,True
2dc94f188cb2,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0065,True
55371a84238e,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0072,True
86a153c5147f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0067,True
80663a46fea8,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0056,True
692910b4cce5,spielberg_FP1,throttle,string_in_numeric,detection,0.0036,True
aebe2eb4d5dc,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0055,True
d2c005d0aa2f,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0072,True
d40dd0e74a5c,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.006,True
835619bd5fd1,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0064,True
1ca0d6fbe079,spielberg_FP1,speed,string_in_numeric,detection,0.0036,True
e122acd84cd6,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0034,True
9025a2825b6b,spielberg_FP2,throttle_new,schema_drift,detection,0.0071,True
f82a162865f2,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0041,True
46e28e78830d,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0055,True
bdcf2203ad90,spielberg_FP2,ecu_canbus_v2,schema_drift,detection,0.0064,True
a070bb9e69a2,spielberg_FP2,rpm_new,schema_drift,detection,0.0071,True
23fb4175eddb,spielberg_FP2,engine_temp_raw,schema_drift,detection,0.0066,True
bbd0432e4e13,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0035,True
10a369f75e1c,spielberg_FP2,tyre_pressure,string_in_numeric,detection,0.0035,True
e394d8cddc08,spielberg_FP2,brake_temp_new,schema_drift,detection,0.0067,True
ff99a8f82b4c,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0063,True
ef3a19b3d499,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0079,True
3a2077b19970,spielberg_FP3,heart_rate_raw,schema_drift,detection,0.0071,True
f3c1c6f14231,spielberg_FP3,throttle_alt,schema_drift,detection,0.0069,True
ce4b7040f23a,spielberg_FP3,speed,string_in_numeric,detection,0.0037,True
f94c7411c85c,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.0035,True
089ea6ec4147,spielberg_FP3,heart_rate,string_in_numeric,detection,0.0037,True
7e776fdc8309,spielberg_FP3,throttle,duplicate_timestamp,detection,0.0062,True
d994e22aacec,spielberg_FP3,tyre_pressure,duplicate_timestamp,detection,0.0062,True
edd552fd89fb,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0056,True
af8f7ff0cf21,spielberg_QUALI,throttle,string_in_numeric,detection,0.0036,True
32e253cf52cb,spielberg_QUALI,rpm_v2,schema_drift,detection,0.0067,True
c90f028caed3,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0061,True
7a2708188800,spielberg_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0058,True
5b4226fa4cca,spielberg_QUALI,ecu_canbus_canbus,schema_drift,detection,0.0067,True
f583c6e4838d,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.0059,True
80df0ea9e3a1,spielberg_QUALI,throttle,string_in_numeric,detection,0.0037,True
524a8e875feb,spielberg_QUALI,aero_load,string_in_numeric,detection,0.0036,True
f370de824eb6,spielberg_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0061,True
a0558226c0f2,spielberg_RACE,aero_load_canbus,schema_drift,detection,0.0082,True
bbc3966aad70,spielberg_RACE,g_force_lateral,duplicate_timestamp,detection,0.0061,True
20b845b2f70d,spielberg_RACE,ecu_canbus,string_in_numeric,detection,0.0032,True
52f04582a079,spielberg_RACE,g_force_lateral_new,schema_drift,detection,0.0063,True
7d3f32285aa8,spielberg_RACE,tyre_pressure_canbus,schema_drift,detection,0.0073,True
45753f07affc,spielberg_RACE,aero_load,string_in_numeric,detection,0.0037,True
0f30bc3f611e,spielberg_RACE,engine_temp,string_in_numeric,detection,0.0036,True
c6130b1e1642,spielberg_RACE,rpm,duplicate_timestamp,detection,0.0063,True
0d2fcb39ad27,spielberg_RACE,ecu_canbus,duplicate_timestamp,detection,0.0061,True
51558c623a4d,spielberg_RACE,aero_load,duplicate_timestamp,detection,0.0064,True
9f9ceee70a19,spielberg_RACE,engine_temp,duplicate_timestamp,detection,0.0059,True
bbc144190ce1,silverstone_FP1,heart_rate,string_in_numeric,detection,0.0038,True
1a213c099834,silverstone_FP1,rpm_raw,schema_drift,detection,0.0073,True
a0e6462e96f5,silverstone_FP1,ecu_canbus,string_in_numeric,detection,0.0036,True
4c263bd12202,silverstone_FP1,throttle,duplicate_timestamp,detection,0.0059,True
e9f7c85eb77f,silverstone_FP1,ecu_canbus,duplicate_timestamp,detection,0.0064,True
6cf8da7703af,silverstone_FP1,throttle,string_in_numeric,detection,0.0037,True
e59e64d65d61,silverstone_FP1,heart_rate_canbus,schema_drift,detection,0.0071,True
2013b2a5c1c0,silverstone_FP1,speed_new,schema_drift,detection,0.0066,True
f4ade5c88b0a,silverstone_FP1,speed,string_in_numeric,detection,0.0036,True
94149546ea48,silverstone_FP1,aero_load,duplicate_timestamp,detection,0.0094,True
bb530f9bba82,silverstone_FP1,engine_temp_v2,schema_drift,detection,0.0066,True
ecfe0a5b70ec,silverstone_FP2,throttle,duplicate_timestamp,detection,0.0067,True
3fb9548391e1,silverstone_FP2,aero_load,duplicate_timestamp,detection,0.0061,True
c72817b18a82,silverstone_FP2,ecu_canbus_v2,schema_drift,detection,0.0064,True
0b8d6082ac4f,silverstone_FP2,ecu_canbus,string_in_numeric,detection,0.0033,True
b648d3ce0dc3,silverstone_FP2,heart_rate_new,schema_drift,detection,0.0071,True
7df996dd2d69,silverstone_FP2,heart_rate,string_in_numeric,detection,0.0037,True
bc57ca545fe5,silverstone_FP2,rpm,string_in_numeric,detection,0.0036,True
a481cd870eb0,silverstone_FP2,brake_temp_raw,schema_drift,detection,0.0066,True
77b81df039df,silverstone_FP2,brake_temp,duplicate_timestamp,detection,0.0059,True
