packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
fab03c54335b,spielberg_FP1,speed_v2,schema_drift,detection,0.0094,True
4ab6dd89bd97,spielberg_FP1,throttle_v2,schema_drift,detection,0.0089,True
3e85f862d8bb,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0041,True
9c400f416b58,spielberg_FP1,speed,duplicate_timestamp,detection,0.0095,True
195a932c5977,spielberg_FP1,throttle,string_in_numeric,detection,0.0042,True
14eb7f7c9b7f,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0184,True
8091fa5f9692,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0068,True
e8da51441003,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0044,True
898247cdae7a,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0062,True
284f247d8151,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0042,True
d572dca7b279,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.008,True
0e0be0ff9d75,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0076,True
f3c5e19bf085,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0082,True
70fb6cb0474d,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0081,True
e3763703a948,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0093,True
81298f0f1067,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
e2f1833296dc,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0075,True
7be2704b16d7,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0067,True
0a67470ab51b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0073,True
74e8da07df80,spielberg_FP1,aero_load,string_in_numeric,detection,0.0045,True
450cb745f899,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0116,True
46b530bca6cb,spielberg_FP1,speed,string_in_numeric,detection,0.0041,True
f847b79fe297,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0085,True
6f25dd339a08,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0088,True
6b220df34095,spielberg_FP1,speed,string_in_numeric,detection,0.0041,True
044f2e37ac21,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0073,True
ca15014b197b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0074,True
8ff1c006853d,spielberg_FP1,throttle_raw,schema_drift,detection,0.0086,True
5c90721d078f,spielberg_FP1,aero_load,string_in_numeric,detection,0.0038,True
b50caea20f8c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0074,True
8db242349858,spielberg_FP1,aero_load_v2,schema_drift,detection,0.008,True
1db73923add3,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0079,True
cc06c35ac1e2,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0074,True
cb9c6474c1c5,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0077,True
4efbf3a610c4,spielberg_FP1,rpm,string_in_numeric,detection,0.0046,True
14185c7e1460,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0037,True
9f2d798b48d4,spielberg_FP1,aero_load,string_in_numeric,detection,0.0045,True
6f1fda035c31,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0072,True
9d31477f640b,spielberg_FP1,throttle,string_in_numeric,detection,0.0041,True
4cca83d5456a,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0039,True
d01acb209598,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0063,True
1464bbe63cea,spielberg_FP1,throttle,string_in_numeric,detection,0.0043,True
952e2ebc2f32,spielberg_FP1,speed,duplicate_timestamp,detection,0.0079,True
3a383e800ddb,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0081,True
8d26c1e418ef,spielberg_FP1,rpm,string_in_numeric,detection,0.0042,True
