packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
d5b3d62d94bd,spielberg_FP2,speed,string_in_numeric,detection,0.004,True
8ddd964184fb,spielberg_FP2,engine_temp_new,schema_drift,detection,0.0072,True
9d9e1e6faffc,spielberg_FP3,speed_alt,schema_drift,detection,0.0071,True
76b38c74d393,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.0063,True
2b2baa8c4165,spielberg_RACE,rpm,string_in_numeric,detection,0.0037,True
ca371dbb8f37,spielberg_RACE,aero_load,duplicate_timestamp,detection,0.0062,True
c9444767f3a4,spielberg_RACE,speed_alt,schema_drift,detection,0.0066,True
df802c11ab3e,silverstone_FP2,heart_rate,duplicate_timestamp,detection,0.0059,True
f443996ad0ca,silverstone_FP2,aero_load,string_in_numeric,detection,0.0036,True
41cf3f5a2e90,silverstone_FP3,rpm,duplicate_timestamp,detection,0.0059,True
937894e33d95,silverstone_FP3,g_force_lateral_new,schema_drift,detection,0.0071,True
0dc376a853ff,silverstone_QUALI,g_force_lateral_alt,schema_drift,detection,0.0073,True
0875314b7dab,silverstone_RACE,heart_rate_raw,schema_drift,detection,0.007,True
ab4e0b059c85,silverstone_RACE,tyre_pressure,string_in_numeric,detection,0.0038,True
3d1a9bbf1efc,silverstone_RACE,ecu_canbus_new,schema_drift,detection,0.0107,True
1b1ec074f8fc,budapest_FP1,tyre_pressure_v2,schema_drift,detection,0.0071,True
2522d4d69034,budapest_FP1,speed,duplicate_timestamp,detection,0.006,True
ef10a8f7ce10,budapest_FP2,aero_load,duplicate_timestamp,detection,0.0066,True
1e5098f4e6c7,budapest_FP3,ecu_canbus,duplicate_timestamp,detection,0.007,True
06fed4b743e6,budapest_FP3,aero_load_v2,schema_drift,detection,0.0069,True
ae48452588f9,budapest_FP3,speed_alt,schema_drift,detection,0.007,True
e6c703761516,budapest_FP3,aero_load,string_in_numeric,detection,0.0036,True
ecb430d8c7a7,budapest_RACE,brake_temp_canbus,schema_drift,detection,0.0071,True
ddceb4abfd51,budapest_RACE,speed,duplicate_timestamp,detection,0.0064,True
9a9237f1ed01,budapest_RACE,brake_temp,string_in_numeric,detection,0.0038,True
1e5098f4e6c7,,,dlq_repair,repair,0.1235,True
9a9237f1ed01,,,dlq_repair,repair,0.0189,False
d5b3d62d94bd,,,dlq_repair,repair,0.01,False
76b38c74d393,,,dlq_repair,repair,0.0307,True
2b2baa8c4165,,,dlq_repair,repair,0.0091,False
ca371dbb8f37,,,dlq_repair,repair,0.0601,True
df802c11ab3e,,,dlq_repair,repair,0.026,True
f443996ad0ca,,,dlq_repair,repair,0.0078,False
41cf3f5a2e90,,,dlq_repair,repair,0.0252,True
ab4e0b059c85,,,dlq_repair,repair,0.0086,False
2522d4d69034,,,dlq_repair,repair,0.0354,True
ef10a8f7ce10,,,dlq_repair,repair,0.0247,True
e6c703761516,,,dlq_repair,repair,0.0073,False
ddceb4abfd51,,,dlq_repair,repair,0.0225,True
