packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2523360c0d68,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.008,True
8541e4dc053d,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0075,True
e75a73103f29,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0114,True
42017910ea56,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0091,True
626af1077032,spielberg_FP1,engine_temp,string_in_numeric,detection,0.004,True
55c5183a912e,spielberg_FP1,aero_load,null_value,detection,0.0064,True
55782a7a6e73,spielberg_FP1,ecu_canbus,null_value,detection,0.0069,True
978339d2f888,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0085,True
0a771cfd3cf7,spielberg_FP1,speed,string_in_numeric,detection,0.0045,True
8849adf9293f,spielberg_FP1,throttle,string_in_numeric,detection,0.0039,True
7b2c480edc2e,spielberg_FP1,speed,null_value,detection,0.0062,True
49e8028cd62e,spielberg_FP1,aero_load,sensor_dropout,detection,0.0065,True
3837f7c6935a,spielberg_FP1,throttle_raw,schema_drift,detection,0.009,True
9b8dfb53aaf3,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0043,True
b938c1278824,spielberg_FP1,aero_load,bit_flip_low,detection,0.0123,True
71f6588b7c27,spielberg_FP1,brake_temp,null_value,detection,0.0062,True
e1acf4c86d0c,spielberg_FP1,aero_load,bit_flip_low,detection,0.0108,True
8cfd6467c107,spielberg_FP1,heart_rate,string_in_numeric,detection,0.004,True
d4aa4d8d71aa,spielberg_FP1,throttle,bit_flip_low,detection,0.0116,True
9ee26c1ab022,spielberg_FP1,throttle_raw,schema_drift,detection,0.0084,True
70bcad062302,spielberg_FP1,speed,null_value,detection,0.0063,True
4f71e949ca78,spielberg_FP1,speed,duplicate_timestamp,detection,0.0089,True
7c481521c7d1,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0109,True
9ccaf664fc9e,spielberg_FP1,tyre_pressure,null_value,detection,0.0064,True
7bb96ee8c07c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0042,True
2a08f0556483,spielberg_FP1,g_force_lateral,null_value,detection,0.0061,True
6adc468336d0,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.004,True
11e250f4f820,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0086,True
dea6c7a6fd18,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0081,True
1498b3653b57,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0109,True
d39cd26d8fc4,spielberg_FP1,aero_load,bit_flip_low,detection,0.0103,True
f361b8f9fc8d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0043,True
e265f0273ee3,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0072,True
6f4aaf319b5d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0041,True
d12e1c5b2644,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0038,True
8c8cd04b23b0,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0039,True
b52f928394bf,spielberg_FP1,engine_temp,null_value,detection,0.0063,True
e5bf904858e6,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0103,True
9f830b9801f6,spielberg_FP1,rpm_new,schema_drift,detection,0.0086,True
d5475ea3b708,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0107,True
88bf3c30f8ad,spielberg_FP1,rpm,sensor_dropout,detection,0.0066,True
0ca473a40fdd,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0108,True
36c77fb6338a,spielberg_FP1,aero_load,bit_flip_high,detection,0.0099,True
4e78f1177671,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0099,True
3400a74c3e2c,spielberg_FP1,heart_rate,null_value,detection,0.0062,True
36dcfeb78411,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0068,True
46c44c352d6e,spielberg_FP1,brake_temp,sensor_dropout,detection,0.007,True
ccdf9139ac2b,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0078,True
8f8173d62992,spielberg_FP1,rpm,null_value,detection,0.0067,True
52373d9ef789,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0106,True
ecd6159940d0,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0061,True
c6f279f4d142,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0086,True
faec23a52530,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0059,True
f56dd8149392,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0041,True
342ed1aa76d1,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0058,True
