packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3f3fdc72504a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0078,True
08ade1e98af2,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0093,True
a502fd705187,spielberg_FP1,speed_alt,schema_drift,detection,0.0093,True
c2af96eaf8ed,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0113,True
fb2d5c6242e3,spielberg_FP1,g_force_lateral,null_value,detection,0.0063,True
598011d4686a,spielberg_FP1,speed,bit_flip_low,detection,0.0111,True
e18f29217b38,spielberg_FP1,rpm,bit_flip_low,detection,0.0111,True
32d64f66482d,spielberg_FP1,speed,sensor_dropout,detection,0.0075,True
729f9b209c5a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0069,True
6b1b2344dec5,spielberg_FP1,ecu_canbus,null_value,detection,0.0064,True
6bdd06c4c1f0,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0117,True
f656aefa0ba7,spielberg_FP1,aero_load,bit_flip_high,detection,0.0109,True
613297d54666,spielberg_FP1,speed,null_value,detection,0.0064,True
765faf6b6654,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0111,True
5ec36e45ed9d,spielberg_FP1,rpm_new,schema_drift,detection,0.0086,True
9aac0e71dd8d,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0111,True
53a094bff07c,spielberg_FP1,speed,sensor_dropout,detection,0.0063,True
454252e575bd,spielberg_FP1,aero_load,bit_flip_low,detection,0.0099,True
48c041ff1dcd,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0108,True
29df713ab39a,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0084,True
344075dee51c,spielberg_FP1,engine_temp,null_value,detection,0.0084,True
367363ddb703,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.008,True
eaa82be45e55,spielberg_FP1,heart_rate,null_value,detection,0.0067,True
a205f49b3cfd,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0117,True
36bb382fb830,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0071,True
3e0400c62da9,spielberg_FP1,speed_new,schema_drift,detection,0.0084,True
0126a45b2a0a,spielberg_FP1,throttle,bit_flip_low,detection,0.011,True
a827e5d969a9,spielberg_FP1,speed,bit_flip_high,detection,0.0105,True
c899709e58ef,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0081,True
