packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e8dd8fb1d921,spielberg_FP1,heart_rate,null_value,detection,0.0069,True
400263e5bf23,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0071,True
c0910e4d6c97,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.007,True
1896fbc9c573,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0085,True
a02460898b07,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0061,True
cd81dbcd5cb3,spielberg_FP1,rpm,bit_flip_low,detection,0.0114,True
593b04339881,spielberg_FP1,aero_load,null_value,detection,0.0073,True
c98d798e863a,spielberg_FP1,aero_load,string_in_numeric,detection,0.0037,True
a308fec061d4,spielberg_FP1,rpm,string_in_numeric,detection,0.0034,True
7ddf60240d7b,spielberg_FP1,rpm,string_in_numeric,detection,0.0032,True
66bcd2f6f22e,spielberg_FP1,throttle,sensor_dropout,detection,0.0054,True
fbe91d1adf64,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0074,True
1b6f25a7f350,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0034,True
3d418542217c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.006,True
e696107b6136,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0099,True
b447bf1445f4,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0084,True
e3b6ce37f5bc,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0075,True
f0b6619020e2,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0097,True
481714afac90,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0091,True
0d8c22cf9804,spielberg_FP1,engine_temp,null_value,detection,0.0057,True
36d45192dadd,spielberg_FP1,throttle_alt,schema_drift,detection,0.0067,True
cdd95563c48e,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0053,True
84af93e3e52f,spielberg_FP1,speed,bit_flip_high,detection,0.009,True
8cb5ef7654d6,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0061,True
bf1d9870ace6,spielberg_FP1,brake_temp,null_value,detection,0.005,True
119e1a739738,spielberg_FP1,rpm,bit_flip_low,detection,0.0093,True
743f84fb4b1c,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0087,True
