packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
82304aa6afa4,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0075,True
0c1c386c5458,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0114,True
6a55f536c7eb,spielberg_FP1,throttle,sensor_dropout,detection,0.0089,True
c362cd1e5363,spielberg_FP1,heart_rate,null_value,detection,0.007,True
7ec2b2826362,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0043,True
f28bc4e5b522,spielberg_FP1,throttle,string_in_numeric,detection,0.004,True
b65bf624d2ff,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0037,True
cee6a6098c85,spielberg_FP1,speed,duplicate_timestamp,detection,0.0073,True
f3ef4366bf03,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0082,True
559075975e7b,spielberg_FP1,brake_temp,null_value,detection,0.0065,True
33c1628cc55c,spielberg_FP1,aero_load,sensor_dropout,detection,0.0066,True
9db12ffbb984,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0103,True
5144255fd159,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0082,True
903e37153ed5,spielberg_FP1,rpm,null_value,detection,0.006,True
4e93b400eb63,spielberg_FP1,rpm,bit_flip_high,detection,0.0114,True
19a20b3f4056,spielberg_FP1,rpm_new,schema_drift,detection,0.0083,True
a5933c9bd347,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0068,True
bfdfde7e5bb8,spielberg_FP1,aero_load,sensor_dropout,detection,0.0079,True
08fe748a5b2d,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.007,True
404e36b872c3,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.009,True
d74fd1c2a3da,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0076,True
7f6a089b6435,spielberg_FP1,heart_rate,sensor_dropout,detection,0.006,True
d1cf74dbba6a,spielberg_FP1,rpm,bit_flip_high,detection,0.0114,True
9415f65d9cb9,spielberg_FP1,throttle,bit_flip_low,detection,0.0111,True
e6d5e8da5191,spielberg_FP1,brake_temp,null_value,detection,0.0065,True
5ffd8370ac6e,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0079,True
08087403060a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0072,True
641d2cd66dd2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.007,True
37357568f300,spielberg_FP1,aero_load,string_in_numeric,detection,0.004,True
384c8d7ec1ba,spielberg_FP1,aero_load,null_value,detection,0.0065,True
645bc1fb8631,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0095,True
a34596810807,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0108,True
25cea5dbbf9f,spielberg_FP1,brake_temp,sensor_dropout,detection,0.006,True
1bd17df49c8a,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0114,True
5c58c6b272c4,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.01,True
ddaa4defd3cd,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0067,True
8d6effa47e9c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0074,True
028264aec527,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0104,True
036fbc1b7b1e,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0102,True
20e965492709,spielberg_FP1,rpm,bit_flip_high,detection,0.0109,True
94329f2fd7cd,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0074,True
51c43da3e723,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0103,True
ef6f1f8a607e,spielberg_FP1,rpm,null_value,detection,0.0066,True
11a0786ede74,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0085,True
a043d3ef7989,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0043,True
b2b2be2523bd,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0064,True
c455ff369cb3,spielberg_FP1,throttle,bit_flip_high,detection,0.0109,True
41f6bb86fb54,spielberg_FP1,aero_load,string_in_numeric,detection,0.0039,True
aaaa2ced8bca,spielberg_FP1,throttle,duplicate_timestamp,detection,0.008,True
5ba9108e8206,spielberg_FP1,aero_load,null_value,detection,0.0065,True
49cac1daf369,spielberg_FP1,rpm,bit_flip_high,detection,0.0108,True
ffcc096e7078,spielberg_FP1,aero_load,bit_flip_high,detection,0.0101,True
1eedf38bd014,spielberg_FP1,throttle,null_value,detection,0.0062,True
5341cf09ad95,spielberg_FP1,brake_temp,null_value,detection,0.006,True
98b53d325e1f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0041,True
79d01bd0f668,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.008,True
f66e5dc6051d,spielberg_FP1,throttle,bit_flip_low,detection,0.0108,True
1702b4d032f2,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0082,True
06b21c753241,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0068,True
b46f5de41fa1,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0063,True
cc6b71cf56a8,spielberg_FP1,throttle,null_value,detection,0.0062,True
4b66c167d251,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0058,True
2d4043f8768f,spielberg_FP1,rpm,bit_flip_low,detection,0.0106,True
a9e456b2ce5d,spielberg_FP1,aero_load,sensor_dropout,detection,0.0076,True
