packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
00ac7af60734,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0046,True
7f485e3e2bcb,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0095,True
ba4afb45d0d8,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0092,True
c31720e95796,spielberg_FP1,aero_load,string_in_numeric,detection,0.0048,True
d2771ed836f8,spielberg_FP1,rpm,string_in_numeric,detection,0.0036,True
d547f0475dd7,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0081,True
ab2153e7ee33,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0087,True
9ab2c2efabe5,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0086,True
18bb4b105e52,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0088,True
501c568af453,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0082,True
b30ee38be7eb,spielberg_FP1,rpm,string_in_numeric,detection,0.0042,True
fb0417a1ed63,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0083,True
79e09ad329f6,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0041,True
56413b1751cb,spielberg_FP1,throttle_new,schema_drift,detection,0.0086,True
9e2b9d450ce8,spielberg_FP1,speed_canbus,schema_drift,detection,0.0087,True
639521729da8,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0037,True
47e88e6234f6,spielberg_FP1,rpm_v2,schema_drift,detection,0.0085,True
e7a147159844,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0045,True
74969aea0cba,spielberg_FP1,aero_load,string_in_numeric,detection,0.0037,True
60fb29885330,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0073,True
d321887714b1,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0043,True
4fc71f38a4e0,spielberg_FP1,speed,duplicate_timestamp,detection,0.0057,True
bdc4f72decb5,spielberg_FP1,rpm,string_in_numeric,detection,0.0038,True
1c5df7abae2f,spielberg_FP1,speed,string_in_numeric,detection,0.0032,True
ceac996b101b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0102,True
e8537c1d9a2e,spielberg_FP1,speed,duplicate_timestamp,detection,0.0084,True
307ce42e9841,spielberg_FP1,throttle,string_in_numeric,detection,0.0048,True
07990f016646,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0081,True
708932d294c5,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0058,True
a2d14c13a465,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0062,True
a2ded4a0d1b3,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0062,True
69aaaf357e28,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0044,True
1a1f8cfb9649,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0043,True
8aa3244ddc86,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0042,True
2cfee5263852,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.008,True
c0f2328b8cc6,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0058,True
72acd1423284,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0046,True
5fc27853869a,spielberg_FP1,speed,duplicate_timestamp,detection,0.0075,True
61a162f043a6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0045,True
4d0e3b315928,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0058,True
efe51e4de2d1,spielberg_FP1,aero_load,string_in_numeric,detection,0.0044,True
fc54b92e1cf4,spielberg_FP1,speed,duplicate_timestamp,detection,0.0075,True
02fb0bec3a79,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0071,True
595d15b7b31c,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0069,True
1f2c7e1df7a0,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0058,True
71c42310928a,spielberg_FP1,throttle,string_in_numeric,detection,0.0042,True
286d158d3e2d,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0084,True
279fd93a12cc,spielberg_FP1,rpm,string_in_numeric,detection,0.0035,True
7e01977109de,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0117,True
308fad38578f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0092,True
43302e34f8ca,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0043,True
7283a1b1b67d,spielberg_FP1,speed,string_in_numeric,detection,0.0041,True
58467e0f64f0,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0099,True
6735c8163631,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0078,True
a456aa6ee99a,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0073,True
42c89146800f,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0068,True
14bf5d81257d,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0067,True
9b2bbd945c4d,spielberg_FP1,speed,string_in_numeric,detection,0.0043,True
ecfc347c3b07,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0071,True
