=== MISSED DETECTIONS BY SENSOR ===
sensor_id,miss_count,total_injected,miss_rate
ecu_canbus,35,770,0.0455
g_force_lateral,3,724,0.0041

=== MISSED DETECTIONS BY CHAOS MODE ===
chaos_mode,miss_count,total_injected,miss_rate
bit_flip_low,35,1050,0.0333
bit_flip_high,3,1061,0.0028

=== MISSED DETECTIONS BY SESSION ===
session,miss_count,total_injected,miss_rate
silverstone_FP3,6,476,0.0126
budapest_FP1,4,520,0.0077
silverstone_FP1,4,475,0.0084
silverstone_RACE,4,495,0.0081
spielberg_FP1,4,486,0.0082
budapest_FP2,3,500,0.0060
budapest_QUALI,3,482,0.0062
spielberg_FP3,3,481,0.0062
budapest_FP3,2,471,0.0042
spielberg_QUALI,2,479,0.0042
budapest_RACE,1,505,0.0020
silverstone_QUALI,1,492,0.0020
spielberg_RACE,1,449,0.0022

=== MISSED DETECTIONS BY SENSOR + CHAOS MODE ===
sensor_id,chaos_mode,miss_count,total_injected,miss_rate
ecu_canbus,bit_flip_low,34,117,0.2906
g_force_lateral,bit_flip_high,2,112,0.0179
ecu_canbus,bit_flip_high,1,99,0.0101
g_force_lateral,bit_flip_low,1,93,0.0108
