packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e488a33f7a88,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0076,True
d3d7ba1d6f27,spielberg_FP1,speed_v2,schema_drift,detection,0.0055,True
7bae9c2d92c4,spielberg_FP1,throttle,sensor_dropout,detection,0.004,True
855bf59c969e,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0075,True
4f6e67e50e8e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0035,True
1b91013aaf34,spielberg_FP1,speed,bit_flip_low,detection,0.007,True
9a6b81bdaf45,spielberg_FP1,rpm,bit_flip_low,detection,0.0093,True
9e28246185e9,spielberg_FP1,throttle,bit_flip_high,detection,0.0073,True
3a6a1f84af96,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0029,True
5bb4dffd7bb1,spielberg_FP1,aero_load,bit_flip_high,detection,0.0094,True
b5124919111d,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0057,True
3a5529babce1,spielberg_FP1,tyre_pressure,null_value,detection,0.0034,True
4d0004a485b2,spielberg_FP1,heart_rate,null_value,detection,0.0033,True
df4c59da7de4,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0037,True
4efecb0856c3,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0052,True
b20b9ddfb9f9,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0036,True
ae6a49f1455b,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0065,True
8d996a4bb9c9,spielberg_FP1,speed,duplicate_timestamp,detection,0.0039,True
90ed2a552d4e,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0254,True
e1079be36dd9,spielberg_FP1,throttle,bit_flip_high,detection,0.0146,True
3d99bc8300dc,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0053,True
2b9500607305,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0052,True
26e19b8450d0,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0046,True
ed314c09e742,spielberg_FP1,aero_load,sensor_dropout,detection,0.0049,True
4fd29c50273c,spielberg_FP1,throttle,null_value,detection,0.0047,True
