packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
9ddce8a86b18,spielberg_FP1,engine_temp,null_value,detection,0.0092,True
8a0929e60b4b,spielberg_FP1,speed,string_in_numeric,detection,0.0026,True
a82f5e5084fa,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0067,True
a271547d6670,spielberg_FP1,speed,bit_flip_low,detection,0.0067,True
64feda049fa5,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0058,True
43fccc2cd045,spielberg_FP1,ecu_canbus,null_value,detection,0.0036,True
a2e78d1a235b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0037,True
8e4481792feb,spielberg_FP1,ecu_canbus,null_value,detection,0.0037,True
b387d4e74de7,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0067,True
b835d3d1a672,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
d16c71583671,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0037,True
f22f28bb7617,spielberg_FP1,throttle,sensor_dropout,detection,0.0044,True
9e3f0c2e75bd,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0049,True
e215b83c2e2f,spielberg_FP1,heart_rate,null_value,detection,0.0034,True
c8391d70eae9,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0036,True
3382adc045bc,spielberg_FP1,speed,bit_flip_high,detection,0.008,True
c09913a846f9,spielberg_FP1,aero_load,bit_flip_high,detection,0.0054,True
b7b57c17c25f,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0045,True
b1bfd42d00a6,spielberg_FP1,throttle,null_value,detection,0.0035,True
b7220b4d94c0,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0035,True
834f5ccd75d1,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0054,True
ad76fc4f3977,spielberg_FP1,throttle,null_value,detection,0.0049,True
9fce1d5081cc,spielberg_FP1,rpm_new,schema_drift,detection,0.0062,True
d050d73affbc,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0041,True
4dc86a830239,spielberg_FP1,engine_temp,null_value,detection,0.0036,True
2fa15421b852,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0054,True
6fed5dfd869a,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0048,True
5f14d5e28398,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0056,True
ef02c7f207e6,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0044,True
10a10cb29f56,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0042,True
ec328dc86453,spielberg_FP1,speed,string_in_numeric,detection,0.003,True
e7c3da52ba17,spielberg_FP1,tyre_pressure,null_value,detection,0.0035,True
6faaf0861de1,spielberg_FP1,throttle,sensor_dropout,detection,0.0043,True
d82389e08832,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0075,True
5f7041ff1951,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0036,True
cb85ffc72ad6,spielberg_FP1,aero_load,null_value,detection,0.0041,True
47d5617eab13,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0085,True
8f52c052c301,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
c2856cc60503,spielberg_FP1,throttle,null_value,detection,0.0039,True
396431207dad,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0078,True
de89bc15d587,spielberg_FP1,rpm_raw,schema_drift,detection,0.0078,True
5aa7fa63cbe8,spielberg_FP1,throttle_raw,schema_drift,detection,0.0055,True
63ff6db71048,spielberg_FP1,rpm,duplicate_timestamp,detection,0.004,True
6d76c4c3f583,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0057,True
e39acdb4e76b,spielberg_FP1,aero_load,bit_flip_high,detection,0.0075,True
65144ee0ab42,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.005,True
2f81d84d435c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
d3f4c61d4a2c,spielberg_FP1,throttle_alt,schema_drift,detection,0.005,True
f61e658bc0f9,spielberg_FP1,speed,duplicate_timestamp,detection,0.0039,True
ea63c812d216,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0054,True
dd2508131253,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.004,True
0669750d5bf5,spielberg_FP1,tyre_pressure,null_value,detection,0.0044,True
2edf1e5588f0,spielberg_FP1,aero_load,null_value,detection,0.0068,True
ed33d967379e,spielberg_FP1,brake_temp,null_value,detection,0.0038,True
fd919c7be0ea,spielberg_FP1,aero_load,bit_flip_low,detection,0.0066,True
ec4595e6b754,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0035,True
c14322b3311e,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0053,True
a303e5066fdf,spielberg_FP1,aero_load,bit_flip_high,detection,0.0156,True
f37de0eb3607,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0268,True
5f5c8253541b,spielberg_FP1,brake_temp,sensor_dropout,detection,0.009,True
9492e61f2ce1,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0086,True
06475e172d81,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0045,True
a1713b7bdacf,spielberg_FP1,rpm,string_in_numeric,detection,0.0048,True
dc1aa280979b,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0101,True
e39c9310e7e6,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0122,True
