packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
aee1b1001391,spielberg_FP1,heart_rate,null_value,detection,0.004,True
071d8bc65d37,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0058,True
8e826663a505,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0055,True
384214a2ef81,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0044,True
f919430e1973,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0072,True
adf71e740a3a,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0037,True
5dfed57fc7b9,spielberg_FP1,speed,bit_flip_high,detection,0.0065,True
1ce6d075b75b,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0036,True
dcac9e54bd2e,spielberg_FP1,speed,duplicate_timestamp,detection,0.0045,True
fd22dbd16ed1,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0045,True
a0470360de74,spielberg_FP1,aero_load,sensor_dropout,detection,0.0037,True
4cce951e5488,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0045,True
1839b48e8276,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0065,True
3bc75246ee51,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0058,True
7e8f34694dfe,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0027,True
79244ca3dfc6,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0043,True
4c82f24432a7,spielberg_FP1,throttle,bit_flip_low,detection,0.0083,True
9bd51dea58bb,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
155906e72ea3,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0045,True
c244b9725af7,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
8174c320358f,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
2e503423ef38,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
88e3d02725a8,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0099,True
afbeb2a97b40,spielberg_FP1,aero_load_new,schema_drift,detection,0.0059,True
1a97aa43adc9,spielberg_FP1,throttle,null_value,detection,0.0039,True
e277b5bdfed2,spielberg_FP1,speed,null_value,detection,0.0035,True
446c50132472,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0046,True
f634568f2b9e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0022,True
c7023381c5a3,spielberg_FP1,heart_rate,null_value,detection,0.0034,True
64ca4bcff8b6,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0046,True
ac5b34c14a09,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0066,True
269764094342,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0044,True
623ce5116ec5,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0049,True
0d37ac8498c6,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0072,True
ef1c9aa72f1a,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0022,True
6f22bad33de3,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0074,True
0005d797dded,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0046,True
62ade215721d,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0045,True
42edad23efae,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0071,True
b1d4d7448276,spielberg_FP1,brake_temp,null_value,detection,0.0036,True
8f255b2f9b4e,spielberg_FP1,rpm,bit_flip_high,detection,0.0076,True
2b827a21ca2f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0047,True
29058d20eab7,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0066,True
35954997f778,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0063,True
0f514b1bc45e,spielberg_FP1,speed_alt,schema_drift,detection,0.0064,True
cc8a31903e4c,spielberg_FP1,speed,string_in_numeric,detection,0.0025,True
f28cb1b11944,spielberg_FP1,ecu_canbus,null_value,detection,0.0038,True
1131bf7b800e,spielberg_FP1,throttle,null_value,detection,0.0037,True
d8602c904835,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0038,True
ff69d6d6d55e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0029,True
fa64fefde83b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0044,True
360836366d31,spielberg_FP1,rpm,bit_flip_high,detection,0.0072,True
7e0f17441944,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0021,True
dad544b03205,spielberg_FP1,speed,bit_flip_high,detection,0.0063,True
ccf541d11eda,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0036,True
d6a884101c6d,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0043,True
14aa3a6adde1,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.005,True
dfb2a63b7d6a,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0076,True
46fe5d697082,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0048,True
0a94d6f865b0,spielberg_FP1,rpm,string_in_numeric,detection,0.0025,True
a3cfd1ca8e04,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0095,True
1deffc2ef637,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0128,True
57ec7302202c,spielberg_FP1,speed,string_in_numeric,detection,0.0051,True
03978fafb4ce,spielberg_FP1,tyre_pressure,null_value,detection,0.0041,True
5c80c839ae03,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0059,True
b0c5823655bf,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0055,True
d74e59350a8e,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0042,True
3ae7ca508347,spielberg_FP1,throttle,sensor_dropout,detection,0.004,True
59d26a374f7c,spielberg_FP1,brake_temp,null_value,detection,0.0035,True
8a60ac12a80c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0075,True
c04b4ef4b176,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
842df9153b05,spielberg_FP1,throttle,null_value,detection,0.0037,True
adbdfd7de992,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0022,True
ad54b44b5745,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0303,True
f795f1fa1004,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
91b32860438c,spielberg_FP1,throttle_new,schema_drift,detection,0.0047,True
e28b6a7eae85,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0075,True
b2adb03f5077,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0046,True
deb5242a016c,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0058,True
40a63c6474b2,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0071,True
efa330550483,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0043,True
9c3bc6b8d962,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0044,True
faea4e8857b4,spielberg_FP1,g_force_lateral,null_value,detection,0.0036,True
a51da70fb651,spielberg_FP1,engine_temp,null_value,detection,0.0033,True
e7c96cfada29,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0043,True
82587d7b2248,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0034,True
9fb24a4a21c7,spielberg_FP1,throttle,null_value,detection,0.0033,True
29fef63a66b0,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
c3033218b7df,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0057,True
c46e90aa354c,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0037,True
e024b31c083e,spielberg_FP1,heart_rate,null_value,detection,0.0042,True
ef72035b90a8,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0037,True
9cd253e9d080,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0034,True
ef8c42c8ab83,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0068,True
6dc8d493772c,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0042,False
7a573562448d,spielberg_FP1,heart_rate,null_value,detection,0.0036,True
c44a64073fda,spielberg_FP1,engine_temp,bit_flip_low,detection,0.007,True
20c65959e568,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0083,True
58de5cee67ca,spielberg_FP1,aero_load,bit_flip_low,detection,0.0077,True
ed1df7967450,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0058,True
48ec31e7631e,spielberg_FP1,rpm,sensor_dropout,detection,0.0031,True
c21f55dcc8cd,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0065,True
0031fb8992af,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
e368e4c83fe0,spielberg_FP1,brake_temp,string_in_numeric,detection,0.002,True
d868f8e478a0,spielberg_FP1,engine_temp,null_value,detection,0.0036,True
622c764881b7,spielberg_FP1,aero_load,bit_flip_high,detection,0.0061,True
25cf1fff0ca1,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0041,True
a8aaf521cf01,spielberg_FP1,speed,bit_flip_low,detection,0.0076,True
c7a2767f5e8e,spielberg_FP1,rpm,sensor_dropout,detection,0.0042,True
58a2b5a06118,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0027,True
ba43a3a4e0cb,spielberg_FP1,rpm,duplicate_timestamp,detection,0.004,True
8f0decab1185,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0073,True
2f21313c6aee,spielberg_FP1,rpm_alt,schema_drift,detection,0.0049,True
2bc2744e9cd7,spielberg_FP1,throttle,sensor_dropout,detection,0.004,True
9cb8451a6bc3,spielberg_FP1,aero_load,sensor_dropout,detection,0.0036,True
50c48d5e7aa0,spielberg_FP1,aero_load,null_value,detection,0.0048,True
f871bf0b39cd,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0046,True
bfcf17c5c613,spielberg_FP1,throttle,bit_flip_high,detection,0.0076,True
e3900ef9e8e8,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0055,True
4d023a10179a,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0064,True
ad2de35db45a,spielberg_FP1,aero_load,bit_flip_low,detection,0.0068,True
15f2437a1ec8,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0044,True
f24f4e45dd4a,spielberg_FP1,throttle_v2,schema_drift,detection,0.0049,True
dfaae1ef7bec,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0037,True
8a6f2980fec2,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0037,True
9386685e4900,spielberg_FP1,rpm,null_value,detection,0.0032,True
053af3f30286,spielberg_FP1,throttle,bit_flip_low,detection,0.0062,True
8fd6f64c085e,spielberg_FP1,speed,sensor_dropout,detection,0.0038,True
ddfa441ebc5a,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0029,True
c30a16fc83ed,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0082,True
951e02c2b604,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0043,True
d72633078905,spielberg_FP1,throttle,duplicate_timestamp,detection,0.004,True
53f8c27b3f82,spielberg_FP1,engine_temp,null_value,detection,0.0068,True
a11ce7decf57,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0039,True
79a889f9d34e,spielberg_FP1,brake_temp,null_value,detection,0.0032,True
d02ef5f14792,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0036,True
8d414a735b88,spielberg_FP1,throttle,bit_flip_low,detection,0.0084,True
fbd264451887,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
3369b75b0686,spielberg_FP1,speed,null_value,detection,0.003,True
1b6e8ebd1393,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0039,True
e617f082b27a,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
530ad86b7cdb,spielberg_FP1,brake_temp,string_in_numeric,detection,0.004,True
8320756ea4a4,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0049,True
11c4beb84bc9,spielberg_FP1,speed,bit_flip_high,detection,0.0072,True
a50eebedc28e,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0063,True
606a2f50d8b9,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0051,True
a46b608a4273,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0047,True
6678f6cd47b5,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.005,True
db8081a3012a,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0065,True
ae03f0601336,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.005,True
032814f71495,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.004,True
16b5d45c55e3,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
4a1fe66e5f06,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0062,True
2cb848dc6808,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0036,True
c8658ba00806,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0086,True
08e1fd72d3a5,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0037,True
44c60b250f50,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0042,False
aab2c250aa96,spielberg_FP1,tyre_pressure,null_value,detection,0.0037,True
a29eddcb18b3,spielberg_FP1,tyre_pressure,null_value,detection,0.0034,True
3a3c9bd5f591,spielberg_FP1,rpm,bit_flip_high,detection,0.0081,True
0601fe213b82,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0064,True
01527d7ba3cd,spielberg_FP1,aero_load,sensor_dropout,detection,0.0033,True
f804840ae791,spielberg_FP1,rpm,bit_flip_low,detection,0.0072,True
edcc45f6247b,spielberg_FP1,aero_load,sensor_dropout,detection,0.0034,True
c75a1c7b915d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0036,True
9b615560940a,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0208,True
560c9feb6836,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0024,True
725966d9531a,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0021,True
62fb430d401f,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0047,True
71be407780a9,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0046,True
04e169c21be2,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
29fdaffe3199,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0038,True
4221eb192489,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0021,True
771064519930,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0066,True
982473fc7ce0,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0048,True
f77af0315dae,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0068,True
c5075c6cdbd0,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0047,True
1583b3be925f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.004,True
fa2b5b8cfe24,spielberg_FP1,rpm,sensor_dropout,detection,0.0033,True
52d8ec119450,spielberg_FP1,aero_load,sensor_dropout,detection,0.004,True
6ee5d03f8568,spielberg_FP1,heart_rate,null_value,detection,0.0067,True
e0f48c607f5e,spielberg_FP1,rpm,bit_flip_low,detection,0.0079,True
6a69cf5a1656,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0064,True
6dfcab09e039,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0037,True
5b2e146202aa,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
45b98c00f3bb,spielberg_FP1,speed,bit_flip_high,detection,0.0084,True
968236e8c811,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0023,True
ef90d420800a,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0051,True
c08da4205bdb,spielberg_FP1,speed,sensor_dropout,detection,0.0041,True
98e29ac8c969,spielberg_FP1,speed,bit_flip_low,detection,0.0084,True
ad9302ff7263,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.005,True
767a281ac3f6,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0069,True
cacd9f3fe769,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
665bc75a7e9c,spielberg_FP1,speed,sensor_dropout,detection,0.0038,True
f2a2249c39f5,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0019,True
cbb64017d1d8,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0068,True
25bfdb2dc4a1,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0061,True
f3a79570a8b6,spielberg_FP1,rpm,null_value,detection,0.0035,True
3ded9a81695e,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0094,True
7ec76dae1715,spielberg_FP1,tyre_pressure,null_value,detection,0.0043,True
ef19782afa5a,spielberg_FP1,rpm_alt,schema_drift,detection,0.0151,True
ef2902fea1a2,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.005,True
1b4b8c2b143f,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0039,True
e803e0a5de5f,spielberg_FP1,speed,sensor_dropout,detection,0.0034,True
2e3146f2a376,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0045,True
83af4c434236,spielberg_FP1,aero_load,bit_flip_high,detection,0.0072,True
4e15f1aa57fa,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0064,True
0594802e0809,spielberg_FP1,rpm,bit_flip_low,detection,0.0073,True
d24c90f50e08,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0039,True
4a2e9ccfe1e1,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0044,True
11fde2e6dddd,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0036,True
e9bb9f066ca7,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0044,True
74cbaf9859fc,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0068,True
34ba54371de2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0022,True
da81faa1d778,spielberg_FP1,brake_temp,bit_flip_low,detection,0.007,True
ad9fcc790b67,spielberg_FP2,aero_load,null_value,detection,0.0056,True
4b4f25618798,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0024,True
60c5dbef858b,spielberg_FP2,speed,null_value,detection,0.0034,True
4a7c7cd1d7e0,spielberg_FP2,brake_temp,bit_flip_high,detection,0.0067,True
bf598cc4951c,spielberg_FP2,speed,bit_flip_high,detection,0.0059,True
46e1b0d65c0b,spielberg_FP2,rpm,bit_flip_high,detection,0.0058,True
3bf548504809,spielberg_FP2,engine_temp_new,schema_drift,detection,0.0041,True
57985de162d6,spielberg_FP2,aero_load,bit_flip_high,detection,0.0055,True
7c797035558d,spielberg_FP2,speed,sensor_dropout,detection,0.0059,True
88673ec5e389,spielberg_FP2,speed,sensor_dropout,detection,0.005,True
8c09be3c0d70,spielberg_FP2,rpm,null_value,detection,0.0039,True
891267ed0103,spielberg_FP2,throttle,bit_flip_low,detection,0.0078,True
de0f11c4ffb3,spielberg_FP2,engine_temp_raw,schema_drift,detection,0.0043,True
59e8ee30bad2,spielberg_FP2,ecu_canbus,bit_flip_low,detection,0.0042,False
25251b2cc6e0,spielberg_FP2,brake_temp,bit_flip_high,detection,0.0058,True
7ea8c5297dfd,spielberg_FP2,ecu_canbus,bit_flip_high,detection,0.0056,True
096407f318b9,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0052,True
29408c3665c0,spielberg_FP2,brake_temp,bit_flip_low,detection,0.0053,True
0044f504d4c9,spielberg_FP2,tyre_pressure_v2,schema_drift,detection,0.0048,True
82b29c0eee59,spielberg_FP2,throttle_alt,schema_drift,detection,0.0044,True
4dd5dd85811a,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0057,True
c11cf7fcee6e,spielberg_FP2,ecu_canbus,bit_flip_high,detection,0.0069,True
1ccc11e3fa75,spielberg_FP2,throttle,sensor_dropout,detection,0.0036,True
ef14abca872c,spielberg_FP2,g_force_lateral_alt,schema_drift,detection,0.0053,True
2b7c37cc2f57,spielberg_FP2,throttle,sensor_dropout,detection,0.0039,True
72c1a32fff17,spielberg_FP2,aero_load,bit_flip_high,detection,0.0071,True
6f4414b3014e,spielberg_FP2,ecu_canbus_raw,schema_drift,detection,0.0075,True
d5901f6d15f2,spielberg_FP2,engine_temp_raw,schema_drift,detection,0.0098,True
30b7e7054062,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0068,True
60947ae19f34,spielberg_FP2,speed,sensor_dropout,detection,0.0046,True
2094862aad5a,spielberg_FP2,engine_temp,bit_flip_high,detection,0.0062,True
fc0dc6ef6436,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0027,True
2c123b4a64ff,spielberg_FP2,ecu_canbus,bit_flip_low,detection,0.0065,True
c74d75da23d4,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0055,True
01feb67b9ad1,spielberg_FP2,rpm_raw,schema_drift,detection,0.0056,True
004bd424c310,spielberg_FP2,speed,string_in_numeric,detection,0.0024,True
9f970cc2a11e,spielberg_FP2,engine_temp,null_value,detection,0.0035,True
5ac160698128,spielberg_FP2,speed,null_value,detection,0.0033,True
504a2fc60de6,spielberg_FP2,heart_rate,bit_flip_high,detection,0.0071,True
c7bf13aa436a,spielberg_FP2,rpm,string_in_numeric,detection,0.0021,True
3e259562d3b3,spielberg_FP2,throttle_raw,schema_drift,detection,0.0052,True
6a08ba63d10d,spielberg_FP2,tyre_pressure,string_in_numeric,detection,0.002,True
7c7c14e0ce3b,spielberg_FP2,throttle_v2,schema_drift,detection,0.0045,True
be39595f6e83,spielberg_FP2,speed,bit_flip_high,detection,0.0064,True
fd7e11fb70a0,spielberg_FP2,rpm,sensor_dropout,detection,0.0033,True
809f96ed33ea,spielberg_FP2,engine_temp,sensor_dropout,detection,0.0072,True
a21333a664f6,spielberg_FP2,ecu_canbus,sensor_dropout,detection,0.0042,True
2fee3dbacae8,spielberg_FP2,g_force_lateral,null_value,detection,0.0035,True
f1c5d876c821,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0052,True
d61333600037,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.002,True
64775ebe9bcd,spielberg_FP2,g_force_lateral,null_value,detection,0.0031,True
1c15a78946b0,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0052,True
791dfcd06e9f,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.007,True
dddc67a1da08,spielberg_FP2,speed,bit_flip_high,detection,0.007,True
d1bb3b82c0d8,spielberg_FP2,tyre_pressure,string_in_numeric,detection,0.004,True
ac3a82ece35e,spielberg_FP2,heart_rate_new,schema_drift,detection,0.0045,True
