packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
efac5dd33179,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0053,True
5945155091cf,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.004,True
1b73e6b9d34d,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0074,True
8b2e82fff0a0,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
8c979a8f178a,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0064,True
1cfa9ff1bb98,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0054,True
ed874d541e2a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0041,True
2c740ecfa6dd,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0032,True
b0bc04b593ff,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0068,True
fe9e69d2d676,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0057,True
92a0bf0d3982,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0027,True
93843abd42b8,spielberg_FP1,throttle,bit_flip_low,detection,0.0066,True
cca0c99600ea,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0064,True
514819478830,spielberg_FP1,ecu_canbus,null_value,detection,0.004,True
af68a7cababe,spielberg_FP1,ecu_canbus,null_value,detection,0.0048,True
47d5f4ed3f46,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0032,True
266690a0d652,spielberg_FP1,aero_load,bit_flip_low,detection,0.0077,True
c1f5cd2000d5,spielberg_FP1,aero_load,sensor_dropout,detection,0.0045,True
bca876972daf,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.017,True
8c050a8d33c9,spielberg_FP1,rpm,string_in_numeric,detection,0.0024,True
9bb2a527ae40,spielberg_FP1,rpm,bit_flip_low,detection,0.0072,True
cdaf5186760c,spielberg_FP1,brake_temp,null_value,detection,0.0045,True
f10617a42730,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
a35ac77e107d,spielberg_FP1,rpm,null_value,detection,0.0039,True
1771476e6fdb,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
c9a44682bfe1,spielberg_FP1,speed,sensor_dropout,detection,0.006,True
18f8c02e034f,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0065,True
586097608a9e,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.005,True
fab0df7f1817,spielberg_FP1,aero_load,sensor_dropout,detection,0.0043,True
f575826fc17d,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0057,True
d9cd3c09b450,spielberg_FP1,rpm,null_value,detection,0.0036,True
78ffcea1f6b0,spielberg_FP1,tyre_pressure,null_value,detection,0.0039,True
79cf2ecb3506,spielberg_FP1,rpm,null_value,detection,0.0035,True
7682834faddc,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0039,True
09beb21cb42a,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0084,True
ff84df241b0b,spielberg_FP1,rpm,bit_flip_low,detection,0.0071,True
e936c88f098c,spielberg_FP1,throttle,null_value,detection,0.0038,True
a63604698fc9,spielberg_FP1,tyre_pressure,null_value,detection,0.0047,True
68397326871f,spielberg_FP1,speed_raw,schema_drift,detection,0.0049,True
72edc5060af3,spielberg_FP1,throttle_v2,schema_drift,detection,0.0049,True
16b6de792668,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0064,True
d2603c6cbb18,spielberg_FP1,rpm,string_in_numeric,detection,0.0026,True
255a95a4c84f,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0046,True
39af270369c1,spielberg_FP1,speed,bit_flip_low,detection,0.0075,True
b59744131074,spielberg_FP1,throttle,bit_flip_high,detection,0.0071,True
b60f6b829599,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.03,True
2160a5164288,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0041,True
95fea985be38,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0021,True
b32f9c339305,spielberg_FP1,engine_temp_new,schema_drift,detection,0.005,True
93cb2eb77433,spielberg_FP1,rpm,sensor_dropout,detection,0.0035,True
70c75f98e708,spielberg_FP1,aero_load,bit_flip_low,detection,0.0082,True
dd1808cec91c,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0044,True
6519269f4cc6,spielberg_FP1,engine_temp,bit_flip_high,detection,0.006,True
e4616837abe2,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0057,True
d78fca2f579d,spielberg_FP1,throttle,null_value,detection,0.0039,True
a8a32737f751,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0133,True
478925ab00fe,spielberg_FP1,rpm,null_value,detection,0.0036,True
32bc20360aec,spielberg_FP1,rpm,bit_flip_low,detection,0.008,True
c78b90177431,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
2181b367ee59,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0036,True
3672a5695b24,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0062,True
0db43700335e,spielberg_FP1,speed,bit_flip_low,detection,0.0061,True
0aa492c95294,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0079,True
76d519453d0d,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0117,True
4a9db099f3bb,spielberg_FP1,aero_load,null_value,detection,0.0044,True
261276d39cd8,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0097,True
5129525b380d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0049,True
5e0b9a0e2aa3,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0105,True
981a7500a06c,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.012,True
8969991a5c7b,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0132,True
9986825d3078,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0083,True
73cb8f686563,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.01,True
721072917b98,spielberg_FP1,aero_load,bit_flip_low,detection,0.0118,True
37d9c3408948,spielberg_FP1,rpm,sensor_dropout,detection,0.0075,True
d036d23b4215,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0112,True
85cf6648ef84,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0075,True
b375ec352930,spielberg_FP1,engine_temp,null_value,detection,0.0081,True
6cbe71880415,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0078,True
2a293faa5aed,spielberg_FP1,speed,bit_flip_low,detection,0.0134,True
9b8ee04ca9ae,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0074,True
1c5a84d02d0e,spielberg_FP1,speed,null_value,detection,0.0072,True
11521c4e6ec4,spielberg_FP1,aero_load,string_in_numeric,detection,0.0038,True
f4374f573e2d,spielberg_FP1,speed,bit_flip_high,detection,0.0125,True
a716b55b96c3,spielberg_FP1,speed,null_value,detection,0.0067,True
804f70645fae,spielberg_FP1,throttle,string_in_numeric,detection,0.0035,True
e405932f4586,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0033,True
a853d231b2d2,spielberg_FP1,rpm_alt,schema_drift,detection,0.0184,True
a7de8c44b69c,spielberg_FP1,throttle,string_in_numeric,detection,0.0036,True
dc5d3e5370df,spielberg_FP1,aero_load,string_in_numeric,detection,0.0037,True
3475b9d7b39f,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0065,True
edfa221106a1,spielberg_FP1,rpm,sensor_dropout,detection,0.0053,True
d25e9ad1165c,spielberg_FP1,tyre_pressure,null_value,detection,0.0052,True
29b3b03b4b9e,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0141,True
4e0827eeb287,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0031,True
33dd886f3e7b,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0027,True
445cd6ecbb74,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0057,True
d80b69b6791f,spielberg_FP1,speed,string_in_numeric,detection,0.0047,True
1e65bd95cb99,spielberg_FP1,throttle,null_value,detection,0.0072,True
