packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
b65953c5a91d,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0283,True
00598a3277f4,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0037,True
102a3e04cafb,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0054,True
debd7b92cc9c,spielberg_FP1,tyre_pressure,null_value,detection,0.0037,True
d257a911e036,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0039,True
175634894bbc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0037,True
c21b04c62462,spielberg_FP1,aero_load,bit_flip_low,detection,0.008,True
ed1f94581ed9,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0069,True
14f6c716f720,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0058,True
e294c059eb15,spielberg_FP1,rpm,string_in_numeric,detection,0.0027,True
6dc436c4474c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0038,True
e1d1d550d1cd,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0051,True
2a4bdd600568,spielberg_FP1,rpm,bit_flip_high,detection,0.0062,True
77799d6ebff7,spielberg_FP1,throttle_v2,schema_drift,detection,0.0046,True
c074c2da82ee,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0058,True
16238b718677,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0036,True
84fb4b114bd5,spielberg_FP1,throttle,bit_flip_high,detection,0.007,True
86d0a3d08226,spielberg_FP1,speed,bit_flip_high,detection,0.0064,True
c64abbc04471,spielberg_FP1,rpm,sensor_dropout,detection,0.0039,True
2399cd870e9f,spielberg_FP1,throttle,null_value,detection,0.0039,True
3db3f7801198,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0024,True
f6569733963b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0057,True
c275efe6b4cc,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
2dff7661998e,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0087,True
38515f6a7a5f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0042,True
fd36a6cb6b93,spielberg_FP1,throttle,sensor_dropout,detection,0.0041,True
cffe3500698d,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
6d4725da01d3,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0094,True
5c976ca47002,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0041,True
ce7c3bf5ee9d,spielberg_FP1,speed,bit_flip_high,detection,0.0111,True
9645056d0996,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0064,True
6169e6896e06,spielberg_FP1,speed,bit_flip_high,detection,0.0057,True
6f9aad26a3ac,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0068,True
5dc30b85d404,spielberg_FP1,g_force_lateral,null_value,detection,0.0035,True
affb9a43f96f,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
a5e62c58ef31,spielberg_FP1,rpm,bit_flip_high,detection,0.0063,True
91587e34c7f4,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0035,True
980225ea2869,spielberg_FP1,rpm,sensor_dropout,detection,0.0035,True
f1b70fc0e086,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0073,True
a314d70862b1,spielberg_FP1,speed,bit_flip_high,detection,0.0067,True
3095debf3475,spielberg_FP1,throttle,sensor_dropout,detection,0.0031,True
2e83e13e511a,spielberg_FP1,brake_temp,null_value,detection,0.003,True
c4e8dd471634,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0039,True
f301b976a436,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0036,True
9610ef197d24,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0034,True
47f6a8decb60,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0028,True
263187544e3b,spielberg_FP1,heart_rate,sensor_dropout,detection,0.004,True
483f5327b688,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0043,True
3b23f3aa541f,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0069,True
7c4d492d3034,spielberg_FP1,engine_temp,sensor_dropout,detection,0.004,True
7bf7d4663e07,spielberg_FP1,throttle,null_value,detection,0.0045,True
54c288aa4880,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0037,True
4a999ce567b4,spielberg_FP1,heart_rate,null_value,detection,0.0034,True
15614ae17e62,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0024,True
c9f024733521,spielberg_FP1,rpm,string_in_numeric,detection,0.0035,True
967f6113b9a4,spielberg_FP1,throttle,bit_flip_low,detection,0.0093,True
a90352bf252a,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0034,True
6321c0054f53,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0033,True
2cd86a499559,spielberg_FP1,throttle_new,schema_drift,detection,0.0047,True
d233d6909487,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0062,True
1aeb9d2e4f0b,spielberg_FP1,throttle,bit_flip_low,detection,0.0059,True
c3186710d13c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
8f9ccaa292e2,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0044,True
8fb0b4db9c26,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0042,True
405e89e76494,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0021,True
090f177eaf9c,spielberg_FP1,heart_rate,null_value,detection,0.0034,True
7551f435e4ae,spielberg_FP1,speed,bit_flip_high,detection,0.0066,True
67a67a6f182a,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0028,True
4fe1931a3c5e,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0039,True
0ccf6fc73958,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0152,True
3dd52693f67b,spielberg_FP1,tyre_pressure,null_value,detection,0.0084,True
f22e6a28aa3f,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0124,True
a15f4e9909d4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0048,True
9a7b80438185,spielberg_FP1,throttle,duplicate_timestamp,detection,0.008,True
95e5956e5471,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0113,True
630d5e8640bf,spielberg_FP1,rpm,bit_flip_low,detection,0.0122,True
6cbd01aa218e,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0116,True
06131b02e203,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0103,True
d361ad60c6cb,spielberg_FP1,rpm,bit_flip_high,detection,0.0115,True
bb880447fe7a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0074,True
ab00d496e45c,spielberg_FP1,rpm_v2,schema_drift,detection,0.0088,True
ce3b76e273b0,spielberg_FP1,throttle,bit_flip_high,detection,0.0109,True
1ee2498992d3,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0113,True
338691e16b42,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0084,True
ebc90a3074b1,spielberg_FP1,throttle,bit_flip_high,detection,0.0113,True
ccc82f222913,spielberg_FP1,throttle,string_in_numeric,detection,0.0036,True
c995572b3d25,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0059,True
ed6319c72daa,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0093,True
964a3f51daac,spielberg_FP1,aero_load,null_value,detection,0.006,True
93910d593c92,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0078,True
c3a1e14e99d8,spielberg_FP1,tyre_pressure,null_value,detection,0.0064,True
c6df7e574e89,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0131,True
7f39626b09f5,spielberg_FP1,speed,bit_flip_low,detection,0.0111,True
09a9cce5c562,spielberg_FP1,rpm,sensor_dropout,detection,0.0137,True
6f0d6e899fd3,spielberg_FP1,aero_load,bit_flip_low,detection,0.0139,True
bede3cfe3db1,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0056,True
ca6bf4575c2a,spielberg_FP1,throttle,sensor_dropout,detection,0.0054,True
0f29d444c0e9,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
07aab17620d4,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0053,True
f972f9eef16a,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.008,True
ce226af286d2,spielberg_FP1,rpm,sensor_dropout,detection,0.0068,True
7aba1d180444,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0071,True
17ff923f8664,spielberg_FP1,rpm_alt,schema_drift,detection,0.0057,True
bc5c0fa56967,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0086,True
