packet_id,api_source,chaos_method,x0_field_count,x1_nesting_depth,x2_numeric_ratio,x3_string_ratio,x4_fields_added,x5_fields_removed,x6_key_edit_dist_mean,x7_has_type_changes,x8_has_structural_changes,x9_source_encoded
pkt_0,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,0.0,0.314159
pkt_1,openf1,qwen,0.628319,0.628319,2.827433,0.314159,3.141593,3.141593,1.85354,0.0,0.0,0.314159
pkt_2,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.314159,0.628319,0.188496,0.0,0.0,0.314159
pkt_3,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,3.141593,3.141593,1.85354,0.0,0.0,0.314159
pkt_4,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,0.0,0.314159
pkt_5,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.314159,0.628319,0.15708,0.0,0.0,0.314159
pkt_6,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,3.141593,0.314159
pkt_7,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.0,0.314159,0.094248,0.0,0.0,0.314159
pkt_8,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.0,0.314159,0.282743,0.0,0.0,0.314159
pkt_9,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,0.314159,0.314159,0.125664,0.0,0.0,0.314159
pkt_10,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.628319,0.314159,0.188496,0.0,0.0,0.314159
pkt_11,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,0.0,0.314159
pkt_12,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,0.0,0.314159
pkt_13,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.314159,0.0,0.0,0.0,0.0,0.314159
pkt_14,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.314159,0.628319,0.188496,0.0,0.0,0.314159
pkt_15,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,3.141593,3.141593,1.85354,0.0,0.0,0.314159
pkt_16,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.314159,0.0,0.0,0.0,0.0,0.314159
pkt_17,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,3.141593,0.314159
pkt_18,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,0.314159,0.314159,0.125664,0.0,0.0,0.314159
pkt_19,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,0.0,0.314159
pkt_20,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,3.141593,0.314159
pkt_21,openf1,qwen,0.628319,0.628319,2.827433,0.314159,2.827433,2.827433,1.633628,0.0,0.0,0.314159
pkt_22,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,0.0,0.314159
pkt_23,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.0,0.314159,0.125664,0.0,0.0,0.314159
pkt_24,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,3.141593,3.141593,1.85354,0.0,0.0,0.314159
pkt_25,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,0.0,0.314159
pkt_26,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.0,0.0,0.0,3.141593,0.0,0.314159
pkt_27,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,0.314159,0.314159,0.125664,0.0,0.0,0.314159
pkt_28,openf1,qwen,0.628319,0.628319,2.827433,0.314159,2.827433,2.827433,1.633628,0.0,0.0,0.314159
pkt_29,openf1,json_manip,0.628319,0.628319,2.827433,0.314159,0.0,0.314159,0.062832,0.0,0.0,0.314159
pkt_30,openf1,schema_alter,0.628319,0.628319,2.827433,0.314159,0.314159,0.628319,0.439823,0.0,3.141593,0.314159
pkt_31,openf1,qwen,0.628319,0.628319,2.827433,0.314159,0.314159,0.628319,0.282743,0.0,0.0,0.314159
pkt_32,openf1,qwen,0.628319,0.628319,2.827433,0.314159,1.570796,1.570796,0.534071,0.0,0.0,0.314159
