hardware,source_file,run_id,vram_gb,timing_us,throughput_bytes_per_sec,throughput_pps,packet_size,packet_count,chaos_metadata,device,drift_detected,drift_types,drift_type_count,reconciled_ok,reconciliation_winner,fallback_used,repair_rate,recovery_score,resilience_P,resilience_P2,detection_rate,p95_latency_ms,total_runtime_sec,run_number,concurrency,api_name,packet_profile,frequency_profile,chaos_strategy,chaos_level,elapsed_seconds,averages,actual_device,target_hz,_label,policy,policy_tag
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_001_finnhub_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_001_finnhub_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,24276,100000000,41.19294776734223,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 154, ""mutated_len"": 154, ""temperature"": 0.7812271699277912, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.4265612127203823,0.43536826495304004,0.0,24.276,0.024276,1,1,finnhub,short,100hz,json,low,0.024276,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_001_openf1_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_001_openf1_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,24352,100000000,41.06438896189225,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 144, ""mutated_len"": 144, ""temperature"": 0.5116302239075992, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.4258541392904074,0.4347897503285151,0.0,24.352,0.024352,1,1,openf1,short,100hz,json,low,0.024352,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_001_openmeteo_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_001_openmeteo_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,23644,100000000,42.29402808323465,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 156, ""mutated_len"": 156, ""temperature"": 0.6955228106722422, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.4326171544577906,0.4403231263745559,0.0,23.644,0.023644,1,1,openmeteo,short,100hz,json,low,0.023644,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_001_spacex_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_001_spacex_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,23945,100000000,41.76237210273543,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 169, ""mutated_len"": 169, ""temperature"": 0.5905835181345733, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.4296930465650449,0.4379306744623095,0.0,23.945,0.023945,1,1,spacex,short,100hz,json,low,0.023945,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_002_finnhub_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_002_finnhub_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,23551,100000000,42.46104199397053,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 154, ""mutated_len"": 154, ""temperature"": 0.5547108593872715, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.43353573096683795,0.4410746889728674,0.0,23.551,0.023551,2,1,finnhub,short,100hz,json,low,0.023551,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_002_openf1_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_002_openf1_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,23724,100000000,42.15140785702243,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 144, ""mutated_len"": 144, ""temperature"": 0.4903122412959472, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.43183274321362336,0.4396813353566009,0.0,23.724,0.023724,2,1,openf1,short,100hz,json,low,0.023724,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_002_openmeteo_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_002_openmeteo_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,23592,100000000,42.3872499152255,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 156, ""mutated_len"": 156, ""temperature"": 0.744584683139707, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.43312987453374024,0.44074262461851477,0.0,23.592,0.023592,2,1,openmeteo,short,100hz,json,low,0.023592,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_002_spacex_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_002_spacex_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,27608,100000000,36.221385105766444,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 169, ""mutated_len"": 169, ""temperature"": 0.6518503715661379, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.39921761808171546,0.412996232975949,0.0,27.608,0.027608,2,1,spacex,short,100hz,json,low,0.027608,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_003_finnhub_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_003_finnhub_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,25064,100000000,39.89786147462496,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 154, ""mutated_len"": 154, ""temperature"": 0.682472072381161, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.4194382381104373,0.42954037663581235,0.0,25.064,0.025064,3,1,finnhub,short,100hz,json,low,0.025064,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
RTX 6000 Workstation_96GB,RTX 6000 Workstation_96GB/baseline_run_003_openf1_short_100hz_json_low_RTX 6000 Workstation_clean_96GB.json,baseline_run_003_openf1_short_100hz_json_low_RTX 6000 Workstation_clean_96GB,96,23560,100000000,42.444821731748725,30000,1,"{""strategy"": ""json"", ""level"": ""low"", ""original_len"": 144, ""mutated_len"": 144, ""temperature"": 0.7939397431713212, ""drift_type"": null}","{""device"": ""CUDA"", ""hardware"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}",False,"{""missing_keys"": 0, ""extra_keys"": 0, ""renamed_keys"": 0, ""type_mismatch"": 0, ""value_contradiction"": 0, ""split_fields"": 0, ""merged_fields"": 0, ""nested_corruption"": 0}",0,True,canonical,False,0.0,1.0,0.433446519524618,0.44100169779286924,0.0,23.56,0.02356,3,1,openf1,short,100hz,json,low,0.02356,"{""levenshtein_latency"": 0, ""regex_latency"": 0, ""bert_latency"": 0, ""gemma_latency"": 0, ""gemma_confidence"": 1.0}",RTX 6000 Workstation,100,BASELINE,"{""policy_tag"": ""tkde_policy_v1"", ""cross_platform_parity_required"": true, ""baseline_min_runs_per_config"": 5, ""standard_runs_per_config"": 5, ""stable_window_excludes_run_1"": true, ""reproducibility"": {""git_commit"": ""772da1dd8afef7db4fd43be6ab1317194ceefb17"", ""python_version"": ""3.12.13"", ""platform"": ""Linux-5.15.0-174-generic-RTX 6000 Workstation-with-glibc2.39"", ""machine"": ""RTX 6000 Workstation"", ""processor"": ""RTX 6000 Workstation"", ""seed_env"": {""PYTHONHASHSEED"": """", ""SEMANTIC_SEED"": """"}}, ""device"": {""device"": ""cuda"", ""model"": ""RTX 6000 Workstation"", ""cloud"": ""vast.ai""}}",tkde_policy_v1
