packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
8ca8654db303,spielberg_FP1,rpm_alt,schema_drift,detection,0.0059,True
f9191e7ae979,spielberg_FP1,brake_temp,null_value,detection,0.0042,True
2758b2039706,spielberg_FP1,rpm,null_value,detection,0.0043,True
7cfa103c825b,spielberg_FP1,speed,bit_flip_low,detection,0.0075,True
9d00191aaaa1,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.006,True
29570ee34897,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
a9b1e488dd0c,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0059,True
fdee8a1ff318,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0076,True
b316f4b9b7c2,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0083,True
a11f7e8cfc73,spielberg_FP1,speed,bit_flip_low,detection,0.007,True
731a9025cfc2,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0061,True
46cb341b6577,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0051,True
9f796487473e,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0044,True
f49b6735a84f,spielberg_FP1,heart_rate,sensor_dropout,detection,0.004,True
5524e61f645a,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0072,True
02d988c40f8f,spielberg_FP1,heart_rate,null_value,detection,0.0035,True
8c339ae49fdd,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0042,True
8034257c4199,spielberg_FP1,ecu_canbus,null_value,detection,0.0035,True
9b58522aa320,spielberg_FP1,throttle_alt,schema_drift,detection,0.0057,True
774052260ef9,spielberg_FP1,throttle,bit_flip_low,detection,0.008,True
aed0352d85e7,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0047,True
a78287f9fb91,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0058,True
c4f31921a57a,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0084,True
83bbc36b442a,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0046,True
7233dde8636b,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0067,True
acd43bb23818,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
02415a3c78b1,spielberg_FP1,throttle,bit_flip_high,detection,0.0083,True
204e25236a4f,spielberg_FP1,speed_new,schema_drift,detection,0.0058,True
c25716bd90bf,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0063,True
252474b2a699,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0056,True
b638651276c5,spielberg_FP1,aero_load,bit_flip_high,detection,0.008,True
ae03bbf1f662,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
dcfa00ae6370,spielberg_FP1,speed,bit_flip_high,detection,0.0078,True
e6c78ad40a0f,spielberg_FP1,throttle_v2,schema_drift,detection,0.006,True
42f13a5c82fe,spielberg_FP1,speed,duplicate_timestamp,detection,0.0044,True
d0cc6235334d,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
8fdcd0fb5e2e,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0067,True
f6814ab44ca1,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
2dcc726e6dc8,spielberg_FP1,speed,string_in_numeric,detection,0.0027,True
2afd57200e00,spielberg_FP1,speed,bit_flip_high,detection,0.0072,True
f507839aef12,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0041,True
1e317dd49c83,spielberg_FP1,aero_load,bit_flip_high,detection,0.0069,True
0d36e5aff168,spielberg_FP1,aero_load,bit_flip_high,detection,0.0066,True
95a6d8d029e7,spielberg_FP1,speed,null_value,detection,0.0037,True
7a665f8a87d3,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0062,True
b9ce6e19d1f1,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0062,True
ae5a3be55633,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0067,True
df4bf65daa33,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0021,True
3aeeaa3a52cb,spielberg_FP1,speed,null_value,detection,0.0047,True
b4abf762a51f,spielberg_FP1,speed,bit_flip_high,detection,0.0074,True
319557096031,spielberg_FP1,throttle,sensor_dropout,detection,0.0045,True
97acda0e2cc3,spielberg_FP1,speed,null_value,detection,0.004,True
280e682e55ef,spielberg_FP1,brake_temp,null_value,detection,0.0038,True
ddabc0019a32,spielberg_FP1,aero_load,bit_flip_high,detection,0.0066,True
8b040e088f63,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0047,True
70b7d452c315,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0041,True
aae5c45bf443,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0049,True
a68f252599a6,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0055,True
197c2e2aea21,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0043,True
75794805b57d,spielberg_FP1,aero_load,bit_flip_high,detection,0.0072,True
50868ca11608,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0055,True
dd0ed5f0594f,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
460c9a20a8ad,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0055,True
0dfb07d2a353,spielberg_FP1,throttle_new,schema_drift,detection,0.0065,True
af230c48a583,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.004,True
1f6f1f2b5f5c,spielberg_FP1,throttle,bit_flip_high,detection,0.0071,True
9bbda5be0d3d,spielberg_FP1,speed,duplicate_timestamp,detection,0.0044,True
7648b431a364,spielberg_FP1,speed,null_value,detection,0.0042,True
a9facde3002c,spielberg_FP1,speed,null_value,detection,0.0039,True
f6f9fd36bf28,spielberg_FP1,tyre_pressure,null_value,detection,0.0037,True
6bb6a589e511,spielberg_FP1,aero_load,sensor_dropout,detection,0.0047,True
08a703ac9b72,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
bc63585b87d0,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
cd6dafbfc388,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0047,True
0b9b6ea38ade,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0079,True
53ae724633f5,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0042,True
f48f0e90ba15,spielberg_FP1,throttle_new,schema_drift,detection,0.006,True
347a66333bd3,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0044,True
f1086f1ef6da,spielberg_FP1,aero_load,string_in_numeric,detection,0.0022,True
e63cd8d309ba,spielberg_FP1,engine_temp,bit_flip_low,detection,0.007,True
6c006f27c154,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0059,True
cf90b6b5457a,spielberg_FP1,throttle,bit_flip_low,detection,0.0071,True
b481a097fb15,spielberg_FP1,speed,null_value,detection,0.0039,True
f1fcdfff8019,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
91a5df2ddd0b,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0065,True
79a803acb177,spielberg_FP1,speed,null_value,detection,0.0046,True
b8742679d283,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0074,True
8377e74a12f5,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0027,True
c604afd6de85,spielberg_FP1,rpm,sensor_dropout,detection,0.0041,True
a90dcf7a9f4c,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0043,True
b743b4fa9cae,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0046,True
aefe5463e39b,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
413932e6aa25,spielberg_FP1,aero_load,string_in_numeric,detection,0.002,True
f6202ae811f5,spielberg_FP1,speed_new,schema_drift,detection,0.0058,True
5f2277cd509a,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0026,True
5230f13344d0,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0083,True
65f584b1e8dd,spielberg_FP1,rpm,sensor_dropout,detection,0.0041,True
75c652e1307e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0077,True
55187c60beaf,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0068,True
2ee2779385e1,spielberg_FP1,rpm,bit_flip_high,detection,0.0069,True
7808092de53c,spielberg_FP1,aero_load,bit_flip_high,detection,0.0068,True
63a2eedfbd54,spielberg_FP2,engine_temp,bit_flip_low,detection,0.0064,True
89c8527ffad0,spielberg_FP2,g_force_lateral,duplicate_timestamp,detection,0.0045,True
ed90602a26cf,spielberg_FP2,aero_load,bit_flip_low,detection,0.0083,True
21c3994fc20d,spielberg_FP2,tyre_pressure,bit_flip_low,detection,0.0063,True
adff44a0ebb2,spielberg_FP2,engine_temp,null_value,detection,0.0045,True
a182455fca90,spielberg_FP2,rpm_raw,schema_drift,detection,0.0065,True
6b7ef44a0771,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0045,True
c5ca0c4e5b4c,spielberg_FP2,brake_temp_canbus,schema_drift,detection,0.006,True
261093598f65,spielberg_FP2,aero_load,sensor_dropout,detection,0.0037,True
1ef47ce209f5,spielberg_FP2,tyre_pressure,null_value,detection,0.0037,True
a5a0581bdb17,spielberg_FP2,speed,bit_flip_high,detection,0.0072,True
86036bd53015,spielberg_FP2,speed,string_in_numeric,detection,0.0022,True
133643c5c1f9,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.0022,True
a9ed570a7004,spielberg_FP2,engine_temp_raw,schema_drift,detection,0.005,True
b0643b88ecf8,spielberg_FP2,brake_temp,bit_flip_low,detection,0.0072,True
72ce77b97f6d,spielberg_FP2,brake_temp,bit_flip_high,detection,0.0064,True
a2fe400ff01f,spielberg_FP2,engine_temp,null_value,detection,0.004,True
e1c0d5c850d2,spielberg_FP2,speed,null_value,detection,0.0039,True
bb33a003e16c,spielberg_FP2,engine_temp,duplicate_timestamp,detection,0.0042,True
5d7ecec8ebf0,spielberg_FP2,brake_temp_v2,schema_drift,detection,0.0054,True
bbc82ba1d410,spielberg_FP2,tyre_pressure,bit_flip_high,detection,0.0075,True
